,school,district_id,district_name,EMH,EMH_combined,school_id,achievement_dir,growth_dir,overall_dir,emh
0,ABRAHAM LINCOLN HIGH SCHOOL,880.0,DENVER COUNTY 1,H,,10.0,up,flat,down,H
1,ACADEMY CHARTER SCHOOL,900.0,DOUGLAS COUNTY RE 1,E,,11.0,up,flat,flat,E
2,ACADEMY CHARTER SCHOOL,900.0,DOUGLAS COUNTY RE 1,M,,11.0,up,up,up,M
3,ACRES GREEN ELEMENTARY SCHOOL,900.0,DOUGLAS COUNTY RE 1,E,,12.0,flat,flat,flat,E
4,GLACIER PEAK ELEMENTARY SCHOOL,20.0,ADAMS 12 FIVE STAR SCHOOLS,E,,14.0,flat,up,flat,E
5,ACADEMY OF CHARTER SCHOOLS,20.0,ADAMS 12 FIVE STAR SCHOOLS,E,,15.0,flat,flat,flat,E
6,ACADEMY OF CHARTER SCHOOLS,20.0,ADAMS 12 FIVE STAR SCHOOLS,H,,15.0,up,up,flat,H
7,ACADEMY OF CHARTER SCHOOLS,20.0,ADAMS 12 FIVE STAR SCHOOLS,M,,15.0,flat,flat,down,M
8,FOX HOLLOW ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,16.0,flat,flat,down,E
9,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040.0,ACADEMY 20,E,,17.0,flat,flat,flat,E
10,LIBERTY MIDDLE SCHOOL,130.0,CHERRY CREEK 5,M,,18.0,flat,flat,flat,M
11,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040.0,ACADEMY 20,E,,19.0,flat,flat,flat,E
12,ADAMS CITY MIDDLE SCHOOL,30.0,ADAMS COUNTY 14,M,,20.0,up,flat,up,M
13,ADAMS CITY HIGH SCHOOL,30.0,ADAMS COUNTY 14,H,,24.0,down,flat,up,H
14,SKY VIEW MIDDLE SCHOOL,2700.0,PUEBLO COUNTY 70,M,,25.0,flat,up,flat,M
15,DESERT SAGE ELEMENTARY SCHOOL,2700.0,PUEBLO COUNTY 70,E,,26.0,flat,down,down,E
16,ADAMS ELEMENTARY SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,30.0,flat,flat,up,E
17,MC LAIN HIGH SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,33.0,up,down,down,H
18,FRONTIER CHARTER ACADEMY,970.0,CALHAN RJ-1,E,,35.0,flat,down,up,E
19,RED HILL ELEMENTARY SCHOOL,910.0,EAGLE COUNTY RE 50,E,,37.0,flat,flat,flat,E
20,BRUSH CREEK ELEMENTARY SCHOOL,910.0,EAGLE COUNTY RE 50,E,,38.0,flat,up,flat,E
21,GYPSUM CREEK MIDDLE SCHOOL,910.0,EAGLE COUNTY RE 50,M,,39.0,up,flat,flat,M
22,RIDGE VIEW ACADEMY CHARTER SCHOOL,880.0,DENVER COUNTY 1,H,,40.0,flat,down,down,H
23,ASPEN COMMUNITY CHARTER SCHOOL,2640.0,ASPEN 1,E,,42.0,flat,down,down,E
24,ASPEN COMMUNITY CHARTER SCHOOL,2640.0,ASPEN 1,M,,42.0,down,up,flat,M
25,HEIMAN ELEMENTARY SCHOOL,3120.0,GREELEY 6,E,,52.0,up,up,up,E
26,WINOGRAD K-8 ELEMENTARY SCHOOL,3120.0,GREELEY 6,E,,53.0,flat,down,down,E
27,WINOGRAD K-8 ELEMENTARY SCHOOL,3120.0,GREELEY 6,M,,53.0,flat,flat,flat,M
28,ROMERO ELEMENTARY SCHOOL,3120.0,GREELEY 6,E,,54.0,up,flat,up,E
29,GRANDVIEW ELEMENTARY SCHOOL,3100.0,WINDSOR RE-4,E,,55.0,flat,flat,flat,E
30,FOWLER ELEMENTARY SCHOOL,2540.0,FOWLER R-4J,E,,56.0,flat,flat,flat,E
31,ROCKY TOP MIDDLE SCHOOL,20.0,ADAMS 12 FIVE STAR SCHOOLS,M,,57.0,flat,flat,flat,M
32,AGUILAR ELEMENTARY SCHOOL,1620.0,AGUILAR REORGANIZED 6,E,,58.0,up,down,down,E
33,MERIDIAN ELEMENTARY SCHOOL,20.0,ADAMS 12 FIVE STAR SCHOOLS,E,,59.0,flat,up,up,E
34,LEGACY ELEMENTARY SCHOOL,470.0,ST VRAIN VALLEY RE 1J,E,,60.0,flat,up,up,E
