,Record_no,district_id,district_name,school_id,school,EMH,EMH_combined,achievement_dir,growth_dir,overall_dir,emh
0,1.0,1040.0,ACADEMY 20,17.0,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
1,2.0,1040.0,ACADEMY 20,19.0,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
2,4.0,1040.0,ACADEMY 20,76.0,AIR ACADEMY HIGH SCHOOL,H,H,flat,flat,flat,H
3,5.0,1040.0,ACADEMY 20,249.0,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,E,flat,flat,up,E
4,6.0,1040.0,ACADEMY 20,209.0,ASPEN VALLEY HIGH SCHOOL,H,H,flat,flat,flat,H
5,7.0,1040.0,ACADEMY 20,74.0,CHALLENGER MIDDLE SCHOOL,M,M,flat,flat,flat,M
6,8.0,1040.0,ACADEMY 20,1615.0,CHINOOK TRAIL ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
7,9.0,1040.0,ACADEMY 20,2195.0,DISCOVERY CANYON CAMPUS SCHOOL,E,EMH,flat,down,flat,E
8,10.0,1040.0,ACADEMY 20,2195.0,DISCOVERY CANYON CAMPUS SCHOOL,M,EMH,flat,flat,flat,M
9,11.0,1040.0,ACADEMY 20,2195.0,DISCOVERY CANYON CAMPUS SCHOOL,H,EMH,flat,flat,flat,H
10,12.0,1040.0,ACADEMY 20,2248.0,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
11,13.0,1040.0,ACADEMY 20,2358.0,EAGLEVIEW MIDDLE SCHOOL,M,M,flat,flat,flat,M
12,14.0,1040.0,ACADEMY 20,2524.0,EDITH WOLFORD ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
13,15.0,1040.0,ACADEMY 20,2800.0,EXPLORER ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
14,16.0,1040.0,ACADEMY 20,3104.0,FOOTHILLS ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
15,17.0,1040.0,ACADEMY 20,3238.0,FRONTIER ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
16,18.0,1040.0,ACADEMY 20,3985.0,HIGH PLAINS ELEMENTARY SCHOOL,E,E,down,flat,down,E
17,19.0,1040.0,ACADEMY 20,5126.0,LIBERTY HIGH SCHOOL,H,H,flat,up,flat,H
18,20.0,1040.0,ACADEMY 20,6140.0,MOUNTAIN RIDGE MIDDLE SCHOOL,M,M,flat,flat,flat,M
19,21.0,1040.0,ACADEMY 20,6158.0,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
20,22.0,1040.0,ACADEMY 20,6937.0,PINE CREEK HIGH SCHOOL,H,H,flat,down,flat,H
21,23.0,1040.0,ACADEMY 20,6960.0,PIONEER ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
22,24.0,1040.0,ACADEMY 20,7159.0,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
