district_id,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,emh,school_id,achievement_dir,growth_dir,overall_dir,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,total,pct_amind,pct_asian,pct_black,pct_hisp,pct_white,pct_pi,pct_2ormore,pct_fr,district_name,school
880,22978,85901,604414,2010,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,H,10,1.0,0.0,-1.0,5,3,5,3,2,7,7,6,7,1930,0.009326425,0.029015544,0.00984456,0.916580311,0.031606218,0.000518135,0.003108808,0.93,DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL
880,21750,88725,619968,2011,0.2451394759087067,0.14311222514710437,DENVER,445458597,384559117,24083605,376042967,1230144286, 5939 , 5127 , 321 , 5014 , 16401 ,H,10,1.0,0.0,0.0,4,3,4,3,2,6,6,6,6,1930,0.009326425,0.029015544,0.00984456,0.916580311,0.031606218,0.000518135,0.003108808,0.93,DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL
880,26358,90920,634265,2012,0.28990321161460625,0.14334702372036925,DENVER,474517651,382873858,26598350,758392218,1642382077,6143,4956,344,9817,21260,H,10,1.0,0.0,1.0,5,1,3,1,1,7,8,6,7,1903,0.007356805,0.02679979,0.009984235,0.913294798,0.037834997,0.001050972,0.003678403,0.9296,DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL
880,22978,85901,604414,2010,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,H,40,0.0,-1.0,-1.0,5,3,3,3,3,9,7,9,10,333,0.015015015,0.015015015,0.27027027,0.351351351,0.348348348,0.0,0.0,1.0,DENVER COUNTY 1,RIDGE VIEW ACADEMY CHARTER SCHOOL
880,21750,88725,619968,2011,0.2451394759087067,0.14311222514710437,DENVER,445458597,384559117,24083605,376042967,1230144286, 5939 , 5127 , 321 , 5014 , 16401 ,H,40,0.0,1.0,1.0,5,2,2,2,2,10,8,10,12,333,0.015015015,0.015015015,0.27027027,0.351351351,0.348348348,0.0,0.0,1.0,DENVER COUNTY 1,RIDGE VIEW ACADEMY CHARTER SCHOOL
880,26358,90920,634265,2012,0.28990321161460625,0.14334702372036925,DENVER,474517651,382873858,26598350,758392218,1642382077,6143,4956,344,9817,21260,H,40,-1.0,,-1.0,,,,,,,,,,287,0.017421603,0.013937282,0.212543554,0.411149826,0.341463415,0.0,0.003484321,0.9965,DENVER COUNTY 1,RIDGE VIEW ACADEMY CHARTER SCHOOL
880,22978,85901,604414,2010,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,H,67,,,0.0,,1,1,1,1,,,,,116,0.025862069,0.00862069,0.603448276,0.293103448,0.060344828,0.0,0.00862069,0.879,DENVER COUNTY 1,ACADEMY OF URBAN LEARNING
880,21750,88725,619968,2011,0.2451394759087067,0.14311222514710437,DENVER,445458597,384559117,24083605,376042967,1230144286, 5939 , 5127 , 321 , 5014 , 16401 ,H,67,,,1.0,,1,1,1,1,,,,,116,0.025862069,0.00862069,0.603448276,0.293103448,0.060344828,0.0,0.00862069,0.879,DENVER COUNTY 1,ACADEMY OF URBAN LEARNING
880,26358,90920,634265,2012,0.28990321161460625,0.14334702372036925,DENVER,474517651,382873858,26598350,758392218,1642382077,6143,4956,344,9817,21260,H,67,,,0.0,,,,,,,,,,139,0.028776978,0.0,0.489208633,0.316546763,0.122302158,0.0,0.043165468,0.8704999999999999,DENVER COUNTY 1,ACADEMY OF URBAN LEARNING
880,22978,85901,604414,2010,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,H,133,,,,,,,,,,,,,,,,,,,,,,DENVER COUNTY 1,EMERSON STREET SCHOOL
880,22978,85901,604414,2010,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,M,133,,,,,,,,,,,,,,,,,,,,,,DENVER COUNTY 1,EMERSON STREET SCHOOL
