,district_name,est_child_poverty,est_total_child,est_total_pop,year
0,Cheyenne County School District RE-5,39,229,1350,2010
1,Yuma School District 1,179,977,5017,2010
2,Wray School District RD-2,103,727,3958,2010
3,Idalia School District RJ-3,12,92,502,2010
4,Liberty School District J-4,7,69,507,2010
5,Academy School District 20,1251,21743,98451,2010
6,Adams County School District 14,1910,8238,36636,2010
7,Agate School District 300,19,108,664,2010
8,Aguilar Reorganized School District 6,68,164,1166,2010
9,Akron School District R-1,68,402,2447,2010
10,Alamosa School District RE-11J,705,2419,14365,2010
11,South Conejos School District RE-10,139,363,2250,2010
12,Archuleta County School District 50-JT,372,1718,11506,2010
13,Arickaree School District R-2,20,120,628,2010
14,Arriba-Flagler School District C-20,36,160,1142,2010
15,Aspen School District 1,104,1676,13026,2010
16,Ault-Highland School District RE-9,168,1094,5620,2010
17,Adams-Arapahoe School District 28J,9251,39607,207500,2010
18,Platte Canyon School District 1,141,1498,9276,2010
19,Bayfield School District R-10-JT,121,1481,8472,2010
20,Bennett School District 29-J,90,1289,6234,2010
21,Bethune School District R-5,25,119,534,2010
22,Boulder Valley School District RE-2,3182,30328,212662,2010
23,Branson Reorganized School District 82,13,34,172,2010
24,Briggsdale School District RE-10,23,119,619,2010
25,Brighton School District 27J,1594,16322,77909,2010
26,Brush School District RE-2J,222,1527,8124,2010
27,Buena Vista School District R-31,160,1008,8659,2010
28,Burlington School District RE-6J,135,742,5193,2010
29,Byers School District 32J,66,517,2481,2010
30,Calhan School District RJ-1,94,634,3018,2010
31,Campo School District RE-6,5,34,254,2010
32,Cañon City School District RE-1,823,3945,27608,2010
33,Center School District 26-JT,239,693,3307,2010
34,Cheraw School District 31,36,139,746,2010
35,Cherry Creek School District 5,4695,54582,274870,2010
36,Cheyenne Mountain School District 12,264,3741,21499,2010
37,Clear Creek School District RE-1,130,1137,9112,2010
38,Plateau Valley School District 50,72,397,2565,2010
39,Colorado Springs School District 11,6681,35123,228901,2010
40,Montezuma-Cortez School District RE-1,843,3339,18575,2010
41,Cotopaxi School District RE-3,43,290,2736,2010
42,Creede Consolidated School District 1,18,90,710,2010
43,Cripple Creek-Victor School District RE-1,105,577,4825,2010
44,Crowley County School District RE-1-J,171,567,5658,2010
45,De Beque School District 49-JT,23,147,919,2010
46,Deer Trail School District 26J,28,193,901,2010
47,Del Norte School District C-7,196,688,4142,2010
48,Delta County School District 50J,1084,5117,31264,2010
49,Denver County School District 1,22978,85901,604414,2010
50,Dolores School District RE-4A,97,550,3737,2010
51,Dolores County School District RE-2,47,329,2178,2010
52,Douglas County School District RE-1,2236,65857,289268,2010
53,Durango School District 9-R,687,5204,38053,2010
54,Eads School District RE-1,21,171,1104,2010
55,Eagle County School District RE 50,899,7314,43995,2010
56,Eaton School District RE-2,177,2093,9703,2010
57,Edison School District 54-JT,27,79,327,2010
58,Elbert School District 200,35,336,1558,2010
59,Elizabeth School District C-1,149,2881,14282,2010
60,Ellicott School District 22,172,954,4355,2010
61,Englewood School District 1,565,2911,25210,2010
62,Park School District R-3,121,1313,11531,2010
63,Park County School District RE-2,149,824,6986,2010
64,Falcon School District 49,1442,16636,74053,2010
65,Frenchman School District RE-3,16,175,954,2010
66,Florence School District RE-2,341,1899,16891,2010
67,Poudre School District R-1,3184,27169,185269,2010
68,Weld County School District RE-8,516,2595,12479,2010
69,Fort Morgan School District RE-3,750,3562,16976,2010
70,Fountain School District 8,1812,7595,31937,2010
71,Fowler School District R-4J,88,399,2073,2010
72,Sierra Grande School District R-30,75,263,1636,2010
73,Weld County School District RE-1,211,1896,8981,2010
74,Gilpin County School District RE-1,12,313,2782,2010
75,Roaring Fork School District RE-1,777,6410,37535,2010
76,Granada School District RE-1,66,219,943,2010
77,East Grand School District 2,229,1624,11939,2010
78,Mesa County Valley School District 51,3793,23849,142920,2010
79,Garfield County School District 16,172,1182,5909,2010
80,Greeley School District 6,4942,21407,115025,2010
81,Pawnee School District RE-12,11,79,525,2010
82,Gunnison Watershed School District RE-1J,273,2000,15248,2010
83,Hanover School District 28,48,345,1663,2010
84,Harrison School District 2,4301,12513,72759,2010
85,Haxtun School District RE-2J,44,289,1479,2010
86,Hayden School District RE-1,44,510,2821,2010
87,Hinsdale County School District RE-1,17,110,817,2010
88,Hoehne Reorganized School District 3,45,289,2189,2010
89,Holly School District RE-3,101,257,1393,2010
90,Holyoke School District RE-1J,88,595,3180,2010
91,Genoa-Hugo School District C-113,53,218,1349,2010
92,Ignacio School District 11-JT,174,1008,5493,2010
93,Jefferson County School District R-1,9121,88970,538434,2010
94,Johnstown-Milliken School District RE-5J,317,3643,16644,2010
95,Julesburg School District RE-1,35,216,1525,2010
96,Karval School District RE-23,15,54,326,2010
97,Keenesburg School District RE-3J,307,2457,12715,2010
98,Platte Valley School District RE-7,137,1098,4724,2010
99,Kim Reorganized School District 88,20,55,306,2010
100,Kiowa School District C-2,45,528,2601,2010
101,Kit Carson School District R-1,20,88,480,2010
102,West Grand School District 1-JT,41,551,3037,2010
103,North Conejos School District RE-1J,234,1016,4639,2010
104,East Otero School District R-1,418,1609,8839,2010
105,La Veta School District RE-2,41,171,1299,2010
106,Lake County School District R-1,255,1260,7287,2010
107,Lamar School District RE-2,504,1800,9393,2010
108,Las Animas School District RE-1,202,627,5629,2010
109,Limon School District RE-4J,80,460,3319,2010
110,Littleton School District 6,1450,15459,92356,2010
111,Lone Star School District 101,7,52,254,2010
112,St. Vrain Valley School District RE 1J,3375,29671,152450,2010
113,Thompson School District R-2J,1824,18194,104587,2010
114,Mancos School District RE-6,91,486,3227,2010
115,Manitou Springs School District 14,129,1154,8286,2010
116,Manzanola School District 3J,60,200,920,2010
117,Mapleton School District 1,1069,6160,30589,2010
118,McClave School District RE-2,28,154,733,2010
119,Meeker School District RE1,62,681,3832,2010
120,Buffalo School District RE-4,28,191,1000,2010
121,Miami-Yoder School District 60-JT,126,428,2210,2010
122,Moffat Consolidated School District 2,67,183,1576,2010
123,Moffat County School District RE-1,341,2661,13818,2010
124,Monte Vista School District C-8,344,1269,6484,2010
125,Montrose County School District RE-1J,1423,7025,38637,2010
126,Lewis-Palmer School District 38,386,6687,28982,2010
127,West End School District RE-2,55,377,2118,2010
128,Norwood School District R-2J,52,299,1983,2010
129,South Routt School District RE-3,22,511,3156,2010
130,Otis School District R-3,22,145,874,2010
