district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
STRASBURG 31J,ADAMS,"4,497,076","3,223,717","-4,300","1,009,507","8,726,000"," 4,697 "," 3,367 ",(4)," 1,054 "," 9,114 "
SANGRE DE CRISTO RE-22J,ALAMOSA,"1,801,524","1,692,183",0,"18,232,716","21,726,423"," 5,922 "," 5,563 ", 0 ," 59,937 "," 71,422 "
DEER TRAIL 26J,ARAPAHOE,"1,237,708","993,160","22,924","36,542","2,290,335"," 7,853 "," 6,302 ", 145 , 232 ," 14,533 "
BYERS 32J,ARAPAHOE,"2,422,463","1,796,628","46,372","678,881","4,944,344"," 5,203 "," 3,859 ", 100 ," 1,458 "," 10,619 "
WALSH RE-1,BACA,"1,214,733","943,145",0,"12,757","2,170,636"," 7,832 "," 6,081 ", 0 , 82 ," 13,995 "
PRITCHETT RE-3,BACA,"674,360","552,710",0,0,"1,227,070"," 10,553 "," 8,650 ", 0 , 0 ," 19,203 "
SPRINGFIELD RE-4,BACA,"1,709,815","1,165,675",0,"25,746","2,901,237"," 6,286 "," 4,286 ", 0 , 95 ," 10,666 "
VILAS RE-5,BACA,"1,420,186","1,288,084",0,"1,913","2,710,183"," 4,006 "," 3,634 ", 0 , 5 ," 7,645 "
CAMPO RE-6,BACA,"514,503","642,737","16,051",0,"1,173,291"," 10,543 "," 13,171 ", 329 , 0 ," 24,043 "
LAS ANIMAS RE-1,BENT,"2,714,008","2,162,696",0,"595,920","5,472,624"," 5,052 "," 4,026 ", 0 ," 1,109 "," 10,187 "
MCCLAVE RE-2,BENT,"1,495,150","1,175,805","1,355","365,876","3,038,185"," 5,453 "," 4,288 ", 5 ," 1,334 "," 11,080 "
BUENA VISTA R-31,CHAFFEE,"5,631,925","4,225,231",0,"638,553","10,495,709"," 6,112 "," 4,586 ", 0 , 693 ," 11,391 "
KIT CARSON R-1,CHEYENNE,"1,087,627","948,370",0,"32,501","2,068,498"," 10,339 "," 9,015 ", 0 , 309 ," 19,663 "
CHEYENNE COUNTY RE-5,CHEYENNE,"1,669,825","1,427,090",248,"785,781","3,882,944"," 9,090 "," 7,769 ", 1 ," 4,278 "," 21,137 "
CLEAR CREEK RE-1,CLEAR CREEK,"5,299,198","4,422,078",0,"2,252,818","11,974,094"," 5,774 "," 4,819 ", 0 ," 2,455 "," 13,048 "
SANFORD 6J,CONEJOS,"1,870,887","846,710",0,"366,532","3,084,130"," 5,774 "," 2,613 ", 0 ," 1,131 "," 9,519 "
SOUTH CONEJOS RE-10,CONEJOS,"1,764,258","1,422,919",109,"40,975","3,228,261"," 6,635 "," 5,351 ", 0 , 154 ," 12,141 "
CENTENNIAL R-1,COSTILLA,"1,191,954","1,312,466",0,"7,494,582","9,999,002"," 5,144 "," 5,665 ", 0 ," 32,346 "," 43,155 "
SIERRA GRANDE R-30,COSTILLA,"1,620,100","1,551,484",0,"373,376","3,544,959"," 6,229 "," 5,965 ", 0 ," 1,436 "," 13,629 "
CROWLEY COUNTY RE-1-J,CROWLEY,"2,317,495","1,897,637",0,"195,695","4,410,827"," 4,659 "," 3,815 ", 0 , 393 ," 8,868 "
CONSOLIDATED C-1,CUSTER,"2,505,353","1,737,573",0,"456,990","4,699,916"," 5,382 "," 3,733 ", 0 , 982 ," 10,096 "
