,county,district_name,instruction,support,community,other,sum,year
0,ADAMS,MAPLETON 1,,,,,,2010
1,Amount,,"39,962,942","23,760,636","237,704","5,474,579","69,435,862",2010
2,Per Pupil,"7,193.3 "," 5,556 "," 3,303 ", 33 , 761 ," 9,653 ",2010
3,All Funds,,57.6 ,34.2 ,0.3 ,7.9 ,100.0 ,2010
4,ADAMS,ADAMS 12 FIVE STAR,,,,,,2010
5,Amount,,"220,263,102","130,356,958","943,009","83,867,989","435,431,057",2010
6,Per Pupil,"40,181.5 "," 5,482 "," 3,244 ", 23 ," 2,087 "," 10,837 ",2010
7,All Funds,,50.6 ,29.9 ,0.2 ,19.3 ,100.0 ,2010
8,ADAMS,ADAMS COUNTY 14,,,,,,2010
9,Amount,,"34,792,431","34,598,159","703,485","7,862,015","77,956,091",2010
10,Per Pupil,"7,020.8 "," 4,956 "," 4,928 ", 100 ," 1,120 "," 11,104 ",2010
11,All Funds,,44.6 ,44.4 ,0.9 ,10.1 ,100.0 ,2010
12,ADAMS,BRIGHTON 27J,,,,,,2010
13,Amount,,"62,557,927","50,921,503","219,987","18,440,305","132,139,723",2010
14,Per Pupil,"14,228.4 "," 4,397 "," 3,579 ", 15 ," 1,296 "," 9,287 ",2010
15,All Funds,,47.3 ,38.5 ,0.2 ,14.0 ,100.0 ,2010
16,ADAMS,BENNETT 29J,,,,,,2010
17,Amount,,"4,853,879","3,540,284",0,"1,004,359","9,398,521",2010
18,Per Pupil,"1,069.9 "," 4,537 "," 3,309 ", 0 , 939 ," 8,784 ",2010
19,All Funds,,51.6 ,37.7 ,0.0 ,10.7 ,100.0 ,2010
20,ADAMS,STRASBURG 31J,,,,,,2010
21,Amount,,"4,497,076","3,223,717","-4,300","1,009,507","8,726,000",2010
22,Per Pupil,957.4 ," 4,697 "," 3,367 ",(4)," 1,054 "," 9,114 ",2010
23,All Funds,,51.5 ,36.9 ,0.0 ,11.6 ,100.0 ,2010
24,ADAMS,WESTMINSTER 50,,,,,,2010
25,Amount,,"51,573,466","45,083,219","672,186","17,935,732","115,264,602",2010
26,Per Pupil,"9,511.0 "," 5,423 "," 4,740 ", 71 ," 1,886 "," 12,119 ",2010
27,All Funds,,44.7 ,39.1 ,0.6 ,15.6 ,100.0 ,2010
28,ALAMOSA,ALAMOSA RE-11J,,,,,,2010
29,Amount,,"9,485,099","7,644,903",0,"11,335,082","28,465,085",2010
30,Per Pupil,"2,109.7 "," 4,496 "," 3,624 ", 0 ," 5,373 "," 13,492 ",2010
31,All Funds,,33.3 ,26.9 ,0.0 ,39.8 ,100.0 ,2010
32,ALAMOSA,SANGRE DE CRISTO RE-22J,,,,,,2010
33,Amount,,"1,801,524","1,692,183",0,"18,232,716","21,726,423",2010
34,Per Pupil,304.2 ," 5,922 "," 5,563 ", 0 ," 59,937 "," 71,422 ",2010
35,All Funds,,8.3 ,7.8 ,0.0 ,83.9 ,100.0 ,2010
36,ARAPAHOE,ENGLEWOOD 1,,,,,,2010
37,Amount,,"18,997,302","13,744,698","198,072","3,669,671","36,609,743",2010
38,Per Pupil,"3,044.7 "," 6,239 "," 4,514 ", 65 ," 1,205 "," 12,024 ",2010
39,All Funds,,51.9 ,37.5 ,0.5 ,10.0 ,100.0 ,2010
40,ARAPAHOE,SHERIDAN 2,,,,,,2010
41,Amount,,"10,383,421","9,979,789","127,830","2,772,336","23,263,376",2010
42,Per Pupil,"1,495.8 "," 6,942 "," 6,672 ", 85 ," 1,853 "," 15,552 ",2010
43,All Funds,,44.6 ,42.9 ,0.5 ,11.9 ,100.0 ,2010
44,ARAPAHOE,CHERRY CREEK 5,,,,,,2010
45,Amount,,"325,369,557","149,536,602","1,109,534","133,309,143","609,324,836",2010
46,Per Pupil,"49,395.8 "," 6,587 "," 3,027 ", 22 ," 2,699 "," 12,336 ",2010
47,All Funds,,53.4 ,24.5 ,0.2 ,21.9 ,100.0 ,2010
48,ARAPAHOE,LITTLETON 6,,,,,,2010
49,Amount,,"83,166,890","50,805,003","7,107","107,665,512","241,644,511",2010
50,Per Pupil,"15,050.0 "," 5,526 "," 3,376 ", 0 ," 7,154 "," 16,056 ",2010
51,All Funds,,34.4 ,21.0 ,0.0 ,44.6 ,100.0 ,2010
52,ARAPAHOE,DEER TRAIL 26J,,,,,,2010
53,Amount,,"1,237,708","993,160","22,924","36,542","2,290,335",2010
54,Per Pupil,157.6 ," 7,853 "," 6,302 ", 145 , 232 ," 14,533 ",2010
55,All Funds,,54.0 ,43.4 ,1.0 ,1.6 ,100.0 ,2010
56,ARAPAHOE,ADAMS-ARAPAHOE 28J,,,,,,2010
57,Amount,,"203,395,982","142,545,814","1,722,591","88,992,578","436,656,965",2010
58,Per Pupil,"35,565.9 "," 5,719 "," 4,008 ", 48 ," 2,502 "," 12,277 ",2010
59,All Funds,,46.6 ,32.6 ,0.4 ,20.4 ,100.0 ,2010
60,ARAPAHOE,BYERS 32J,,,,,,2010
61,Amount,,"2,422,463","1,796,628","46,372","678,881","4,944,344",2010
62,Per Pupil,465.6 ," 5,203 "," 3,859 ", 100 ," 1,458 "," 10,619 ",2010
63,All Funds,,49.0 ,36.3 ,0.9 ,13.7 ,100.0 ,2010
64,ARCHULETA,ARCHULETA COUNTY 50 JT,,,,,,2010
65,Amount,,"7,128,229","6,552,572",0,"938,320","14,619,122",2010
66,Per Pupil,"1,530.4 "," 4,658 "," 4,282 ", 0 , 613 ," 9,552 ",2010
67,All Funds,,48.8 ,44.8 ,0.0 ,6.4 ,100.0 ,2010
68,BACA,WALSH RE-1,,,,,,2010
69,Amount,,"1,214,733","943,145",0,"12,757","2,170,636",2010
70,Per Pupil,155.1 ," 7,832 "," 6,081 ", 0 , 82 ," 13,995 ",2010
71,All Funds,,56.0 ,43.5 ,0.0 ,0.6 ,100.0 ,2010
72,BACA,PRITCHETT RE-3,,,,,,2010
73,Amount,,"674,360","552,710",0,0,"1,227,070",2010
74,Per Pupil,63.9 ," 10,553 "," 8,650 ", 0 , 0 ," 19,203 ",2010
75,All Funds,,55.0 ,45.0 ,0.0 ,0.0 ,100.0 ,2010
76,BACA,SPRINGFIELD RE-4,,,,,,2010
77,Amount,,"1,709,815","1,165,675",0,"25,746","2,901,237",2010
78,Per Pupil,272.0 ," 6,286 "," 4,286 ", 0 , 95 ," 10,666 ",2010
79,All Funds,,58.9 ,40.2 ,0.0 ,0.9 ,100.0 ,2010
80,BACA,VILAS RE-5,,,,,,2010
81,Amount,,"1,420,186","1,288,084",0,"1,913","2,710,183",2010
82,Per Pupil,354.5 ," 4,006 "," 3,634 ", 0 , 5 ," 7,645 ",2010
83,All Funds,,52.4 ,47.5 ,0.0 ,0.1 ,100.0 ,2010
84,BACA,CAMPO RE-6,,,,,,2010
85,Amount,,"514,503","642,737","16,051",0,"1,173,291",2010
86,Per Pupil,48.8 ," 10,543 "," 13,171 ", 329 , 0 ," 24,043 ",2010
87,All Funds,,43.9 ,54.8 ,1.4 ,0.0 ,100.0 ,2010
88,BENT,LAS ANIMAS RE-1,,,,,,2010
89,Amount,,"2,714,008","2,162,696",0,"595,920","5,472,624",2010
90,Per Pupil,537.2 ," 5,052 "," 4,026 ", 0 ," 1,109 "," 10,187 ",2010
91,All Funds,,49.6 ,39.5 ,0.0 ,10.9 ,100.0 ,2010
92,BENT,MCCLAVE RE-2,,,,,,2010
93,Amount,,"1,495,150","1,175,805","1,355","365,876","3,038,185",2010
94,Per Pupil,274.2 ," 5,453 "," 4,288 ", 5 ," 1,334 "," 11,080 ",2010
95,All Funds,,49.2 ,38.7 ,0.0 ,12.0 ,100.0 ,2010
96,BOULDER,ST VRAIN VALLEY RE 1J,,,,,,2010
97,Amount,,"134,680,278","93,342,064","624,306","182,742,738","411,389,385",2010
98,Per Pupil,"25,493.3 "," 5,283 "," 3,661 ", 24 ," 7,168 "," 16,137 ",2010
99,All Funds,,32.7 ,22.7 ,0.2 ,44.4 ,100.0 ,2010
100,BOULDER,BOULDER VALLEY RE 2,,,,,,2010
101,Amount,,"174,694,230","102,951,401","4,911,328","94,371,626","376,928,586",2010
102,Per Pupil,"28,148.8 "," 6,206 "," 3,657 ", 174 ," 3,353 "," 13,391 ",2010
103,All Funds,,46.3 ,27.3 ,1.3 ,25.0 ,100.0 ,2010
104,CHAFFEE,BUENA VISTA R-31,,,,,,2010
