,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
0,MAPLETON 1,ADAMS,39962942,23760636,237704,5474579,69435862,5556.0,3303.0,33.0,761.0,9653.0,2010
1,ADAMS 12 FIVE STAR,ADAMS,220263102,130356958,943009,83867989,435431057,5482.0,3244.0,23.0,2087.0,10837.0,2010
2,ADAMS COUNTY 14,ADAMS,34792431,34598159,703485,7862015,77956091,4956.0,4928.0,100.0,1120.0,11104.0,2010
3,BRIGHTON 27J,ADAMS,62557927,50921503,219987,18440305,132139723,4397.0,3579.0,15.0,1296.0,9287.0,2010
4,BENNETT 29J,ADAMS,4853879,3540284,0,1004359,9398521,4537.0,3309.0,0.0,939.0,8784.0,2010
5,STRASBURG 31J,ADAMS,4497076,3223717,-4300,1009507,8726000,4697.0,3367.0,4.0,1054.0,9114.0,2010
6,WESTMINSTER 50,ADAMS,51573466,45083219,672186,17935732,115264602,5423.0,4740.0,71.0,1886.0,12119.0,2010
7,ALAMOSA RE-11J,ALAMOSA,9485099,7644903,0,11335082,28465085,4496.0,3624.0,0.0,5373.0,13492.0,2010
8,SANGRE DE CRISTO RE-22J,ALAMOSA,1801524,1692183,0,18232716,21726423,5922.0,5563.0,0.0,59937.0,71422.0,2010
9,ENGLEWOOD 1,ARAPAHOE,18997302,13744698,198072,3669671,36609743,6239.0,4514.0,65.0,1205.0,12024.0,2010
10,SHERIDAN 2,ARAPAHOE,10383421,9979789,127830,2772336,23263376,6942.0,6672.0,85.0,1853.0,15552.0,2010
11,CHERRY CREEK 5,ARAPAHOE,325369557,149536602,1109534,133309143,609324836,6587.0,3027.0,22.0,2699.0,12336.0,2010
12,LITTLETON 6,ARAPAHOE,83166890,50805003,7107,107665512,241644511,5526.0,3376.0,0.0,7154.0,16056.0,2010
13,DEER TRAIL 26J,ARAPAHOE,1237708,993160,22924,36542,2290335,7853.0,6302.0,145.0,232.0,14533.0,2010
14,ADAMS-ARAPAHOE 28J,ARAPAHOE,203395982,142545814,1722591,88992578,436656965,5719.0,4008.0,48.0,2502.0,12277.0,2010
15,BYERS 32J,ARAPAHOE,2422463,1796628,46372,678881,4944344,5203.0,3859.0,100.0,1458.0,10619.0,2010
16,ARCHULETA COUNTY 50 JT,ARCHULETA,7128229,6552572,0,938320,14619122,4658.0,4282.0,0.0,613.0,9552.0,2010
17,WALSH RE-1,BACA,1214733,943145,0,12757,2170636,7832.0,6081.0,0.0,82.0,13995.0,2010
18,PRITCHETT RE-3,BACA,674360,552710,0,0,1227070,10553.0,8650.0,0.0,0.0,19203.0,2010
19,SPRINGFIELD RE-4,BACA,1709815,1165675,0,25746,2901237,6286.0,4286.0,0.0,95.0,10666.0,2010
20,VILAS RE-5,BACA,1420186,1288084,0,1913,2710183,4006.0,3634.0,0.0,5.0,7645.0,2010
21,CAMPO RE-6,BACA,514503,642737,16051,0,1173291,10543.0,13171.0,329.0,0.0,24043.0,2010
22,LAS ANIMAS RE-1,BENT,2714008,2162696,0,595920,5472624,5052.0,4026.0,0.0,1109.0,10187.0,2010
23,MCCLAVE RE-2,BENT,1495150,1175805,1355,365876,3038185,5453.0,4288.0,5.0,1334.0,11080.0,2010
24,ST VRAIN VALLEY RE 1J,BOULDER,134680278,93342064,624306,182742738,411389385,5283.0,3661.0,24.0,7168.0,16137.0,2010
25,BOULDER VALLEY RE 2,BOULDER,174694230,102951401,4911328,94371626,376928586,6206.0,3657.0,174.0,3353.0,13391.0,2010
26,BUENA VISTA R-31,CHAFFEE,5631925,4225231,0,638553,10495709,6112.0,4586.0,0.0,693.0,11391.0,2010
27,SALIDA R-32,CHAFFEE,6758272,5223828,365557,3155491,15503147,6289.0,4861.0,340.0,2936.0,14427.0,2010
28,KIT CARSON R-1,CHEYENNE,1087627,948370,0,32501,2068498,10339.0,9015.0,0.0,309.0,19663.0,2010
29,CHEYENNE COUNTY RE-5,CHEYENNE,1669825,1427090,248,785781,3882944,9090.0,7769.0,1.0,4278.0,21137.0,2010
30,CLEAR CREEK RE-1,CLEAR CREEK,5299198,4422078,0,2252818,11974094,5774.0,4819.0,0.0,2455.0,13048.0,2010
31,NORTH CONEJOS RE-1J,CONEJOS,5851244,3390402,0,204889,9446536,5445.0,3155.0,0.0,191.0,8790.0,2010
32,SANFORD 6J,CONEJOS,1870887,846710,0,366532,3084130,5774.0,2613.0,0.0,1131.0,9519.0,2010
33,SOUTH CONEJOS RE-10,CONEJOS,1764258,1422919,109,40975,3228261,6635.0,5351.0,0.0,154.0,12141.0,2010
34,CENTENNIAL R-1,COSTILLA,1191954,1312466,0,7494582,9999002,5144.0,5665.0,0.0,32346.0,43155.0,2010
35,SIERRA GRANDE R-30,COSTILLA,1620100,1551484,0,373376,3544959,6229.0,5965.0,0.0,1436.0,13629.0,2010
36,CROWLEY COUNTY RE-1-J,CROWLEY,2317495,1897637,0,195695,4410827,4659.0,3815.0,0.0,393.0,8868.0,2010
37,CONSOLIDATED C-1,CUSTER,2505353,1737573,0,456990,4699916,5382.0,3733.0,0.0,982.0,10096.0,2010
38,DELTA COUNTY 50J,DELTA,27756045,13885330,28269,10545417,52215061,5436.0,2720.0,6.0,2066.0,10227.0,2010
39,DENVER COUNTY 1,DENVER,438251412,369798031,18599153,400556989,1227205585,6022.0,5082.0,256.0,5504.0,16864.0,2010
40,DOLORES COUNTY RE NO.2,DOLORES,1619037,1386826,0,391237,3397100,5948.0,5095.0,0.0,1437.0,12480.0,2010
41,DOUGLAS COUNTY RE 1,DOUGLAS,287808328,184354717,370600,207309771,679843415,4967.0,3182.0,6.0,3578.0,11732.0,2010
42,EAGLE COUNTY RE 50,EAGLE,36225939,30210942,446318,23303976,90187174,6196.0,5167.0,76.0,3986.0,15425.0,2010
43,ELIZABETH C-1,ELBERT,11846354,8653830,221590,3550094,24271868,4494.0,3283.0,84.0,1347.0,9207.0,2010
44,KIOWA C-2,ELBERT,1977002,1403446,0,306892,3687341,5719.0,4060.0,0.0,888.0,10666.0,2010
45,BIG SANDY 100J,ELBERT,2096333,1193845,2248,37645,3330070,6873.0,3914.0,7.0,123.0,10918.0,2010
46,ELBERT 200,ELBERT,1481918,1009204,0,62475,2553598,6336.0,4315.0,0.0,267.0,10917.0,2010
47,AGATE 300,ELBERT,425028,441689,0,7571,874287,8350.0,8678.0,0.0,149.0,17177.0,2010
48,CALHAN RJ-1,EL PASO,3023985,2146057,0,2418451,7588494,5001.0,3549.0,0.0,3999.0,12549.0,2010
49,HARRISON 2,EL PASO,54044629,42646191,287025,50164023,147141867,5218.0,4117.0,28.0,4843.0,14206.0,2010
50,WIDEFIELD 3,EL PASO,39516228,28157023,1241582,3812723,72727556,4729.0,3369.0,149.0,456.0,8703.0,2010
51,FOUNTAIN 8,EL PASO,37870779,27346307,147492,11470695,76835273,5351.0,3864.0,21.0,1621.0,10857.0,2010
52,COLORADO SPRINGS 11,EL PASO,161092973,108186543,1092919,47693330,318065765,5704.0,3830.0,39.0,1689.0,11261.0,2010
53,CHEYENNE MOUNTAIN 12,EL PASO,22570602,14167082,42775,5416241,42196700,5083.0,3191.0,10.0,1220.0,9504.0,2010
54,MANITOU SPRINGS 14,EL PASO,7918041,5412704,5492,7182559,20518796,5893.0,4028.0,4.0,5345.0,15270.0,2010
55,ACADEMY 20,EL PASO,114948955,73502417,110779,30962350,219524501,5252.0,3358.0,5.0,1415.0,10029.0,2010
56,ELLICOTT 22,EL PASO,3872894,3200748,0,1184566,8258208,4142.0,3423.0,0.0,1267.0,8831.0,2010
57,PEYTON 23 JT,EL PASO,2901835,2485926,0,629396,6017158,4368.0,3742.0,0.0,947.0,9057.0,2010
58,HANOVER 28,EL PASO,1482289,1294630,0,8958674,11735593,5719.0,4995.0,0.0,34563.0,45276.0,2010
59,LEWIS-PALMER 38,EL PASO,25630125,21124864,256360,11822654,58834002,4549.0,3750.0,46.0,2098.0,10443.0,2010
60,FALCON 49,EL PASO,59459096,48404997,13822,18873666,126751580,4239.0,3451.0,1.0,1345.0,9036.0,2010
61,EDISON 54 JT,EL PASO,1296122,1132324,0,108172,2536619,6366.0,5562.0,0.0,531.0,12459.0,2010
62,MIAMI/YODER 60 JT,EL PASO,2064279,1619294,0,366832,4050406,6481.0,5084.0,0.0,1152.0,12717.0,2010
63,CANON CITY RE-1,FREMONT,17962021,12674685,216931,2708711,33562348,4721.0,3331.0,57.0,712.0,8822.0,2010
64,FLORENCE RE-2,FREMONT,7606216,6000356,53636,1936295,15596503,4580.0,3613.0,32.0,1166.0,9392.0,2010
65,COTOPAXI RE-3,FREMONT,1609096,1163295,0,249481,3021872,7405.0,5353.0,0.0,1148.0,13906.0,2010
