,district_name,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,county,year
0,MAPLETON 1,39962942,23760636,237704,5474579,69435862, 5556 , 3303 , 33 , 761 , 9653 ,ADAMS,2010
1,ADAMS 12 FIVE STAR,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,ADAMS,2010
2,ADAMS COUNTY 14,34792431,34598159,703485,7862015,77956091, 4956 , 4928 , 100 , 1120 , 11104 ,ADAMS,2010
3,BRIGHTON 27J,62557927,50921503,219987,18440305,132139723, 4397 , 3579 , 15 , 1296 , 9287 ,ADAMS,2010
4,BENNETT 29J,4853879,3540284,0,1004359,9398521, 4537 , 3309 , 0 , 939 , 8784 ,ADAMS,2010
5,STRASBURG 31J,4497076,3223717,-4300,1009507,8726000, 4697 , 3367 ,(4), 1054 , 9114 ,ADAMS,2010
6,WESTMINSTER 50,51573466,45083219,672186,17935732,115264602, 5423 , 4740 , 71 , 1886 , 12119 ,ADAMS,2010
7,ALAMOSA RE-11J,9485099,7644903,0,11335082,28465085, 4496 , 3624 , 0 , 5373 , 13492 ,ALAMOSA,2010
8,SANGRE DE CRISTO RE-22J,1801524,1692183,0,18232716,21726423, 5922 , 5563 , 0 , 59937 , 71422 ,ALAMOSA,2010
9,ENGLEWOOD 1,18997302,13744698,198072,3669671,36609743, 6239 , 4514 , 65 , 1205 , 12024 ,ARAPAHOE,2010
10,SHERIDAN 2,10383421,9979789,127830,2772336,23263376, 6942 , 6672 , 85 , 1853 , 15552 ,ARAPAHOE,2010
11,CHERRY CREEK 5,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,ARAPAHOE,2010
12,LITTLETON 6,83166890,50805003,7107,107665512,241644511, 5526 , 3376 , 0 , 7154 , 16056 ,ARAPAHOE,2010
13,DEER TRAIL 26J,1237708,993160,22924,36542,2290335, 7853 , 6302 , 145 , 232 , 14533 ,ARAPAHOE,2010
14,ADAMS-ARAPAHOE 28J,203395982,142545814,1722591,88992578,436656965, 5719 , 4008 , 48 , 2502 , 12277 ,ARAPAHOE,2010
15,BYERS 32J,2422463,1796628,46372,678881,4944344, 5203 , 3859 , 100 , 1458 , 10619 ,ARAPAHOE,2010
16,ARCHULETA COUNTY 50 JT,7128229,6552572,0,938320,14619122, 4658 , 4282 , 0 , 613 , 9552 ,ARCHULETA,2010
17,WALSH RE-1,1214733,943145,0,12757,2170636, 7832 , 6081 , 0 , 82 , 13995 ,BACA,2010
18,PRITCHETT RE-3,674360,552710,0,0,1227070, 10553 , 8650 , 0 , 0 , 19203 ,BACA,2010
19,SPRINGFIELD RE-4,1709815,1165675,0,25746,2901237, 6286 , 4286 , 0 , 95 , 10666 ,BACA,2010
20,VILAS RE-5,1420186,1288084,0,1913,2710183, 4006 , 3634 , 0 , 5 , 7645 ,BACA,2010
21,CAMPO RE-6,514503,642737,16051,0,1173291, 10543 , 13171 , 329 , 0 , 24043 ,BACA,2010
22,LAS ANIMAS RE-1,2714008,2162696,0,595920,5472624, 5052 , 4026 , 0 , 1109 , 10187 ,BENT,2010
23,MCCLAVE RE-2,1495150,1175805,1355,365876,3038185, 5453 , 4288 , 5 , 1334 , 11080 ,BENT,2010
24,ST VRAIN VALLEY RE 1J,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,BOULDER,2010
25,BOULDER VALLEY RE 2,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,BOULDER,2010
26,BUENA VISTA R-31,5631925,4225231,0,638553,10495709, 6112 , 4586 , 0 , 693 , 11391 ,CHAFFEE,2010
27,SALIDA R-32,6758272,5223828,365557,3155491,15503147, 6289 , 4861 , 340 , 2936 , 14427 ,CHAFFEE,2010
28,KIT CARSON R-1,1087627,948370,0,32501,2068498, 10339 , 9015 , 0 , 309 , 19663 ,CHEYENNE,2010
29,CHEYENNE COUNTY RE-5,1669825,1427090,248,785781,3882944, 9090 , 7769 , 1 , 4278 , 21137 ,CHEYENNE,2010
30,CLEAR CREEK RE-1,5299198,4422078,0,2252818,11974094, 5774 , 4819 , 0 , 2455 , 13048 ,CLEAR CREEK,2010
31,NORTH CONEJOS RE-1J,5851244,3390402,0,204889,9446536, 5445 , 3155 , 0 , 191 , 8790 ,CONEJOS,2010
32,SANFORD 6J,1870887,846710,0,366532,3084130, 5774 , 2613 , 0 , 1131 , 9519 ,CONEJOS,2010
33,SOUTH CONEJOS RE-10,1764258,1422919,109,40975,3228261, 6635 , 5351 , 0 , 154 , 12141 ,CONEJOS,2010
34,CENTENNIAL R-1,1191954,1312466,0,7494582,9999002, 5144 , 5665 , 0 , 32346 , 43155 ,COSTILLA,2010
35,SIERRA GRANDE R-30,1620100,1551484,0,373376,3544959, 6229 , 5965 , 0 , 1436 , 13629 ,COSTILLA,2010
36,CROWLEY COUNTY RE-1-J,2317495,1897637,0,195695,4410827, 4659 , 3815 , 0 , 393 , 8868 ,CROWLEY,2010
37,CONSOLIDATED C-1,2505353,1737573,0,456990,4699916, 5382 , 3733 , 0 , 982 , 10096 ,CUSTER,2010
38,DELTA COUNTY 50(J),27756045,13885330,28269,10545417,52215061, 5436 , 2720 , 6 , 2066 , 10227 ,DELTA,2010
39,DENVER COUNTY 1,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,DENVER,2010
40,DOLORES COUNTY RE NO.2,1619037,1386826,0,391237,3397100, 5948 , 5095 , 0 , 1437 , 12480 ,DOLORES,2010
41,DOUGLAS COUNTY RE 1,287808328,184354717,370600,207309771,679843415, 4967 , 3182 , 6 , 3578 , 11732 ,DOUGLAS,2010
42,EAGLE COUNTY RE 50,36225939,30210942,446318,23303976,90187174, 6196 , 5167 , 76 , 3986 , 15425 ,EAGLE,2010
43,ELIZABETH C-1,11846354,8653830,221590,3550094,24271868, 4494 , 3283 , 84 , 1347 , 9207 ,ELBERT,2010
44,KIOWA C-2,1977002,1403446,0,306892,3687341, 5719 , 4060 , 0 , 888 , 10666 ,ELBERT,2010
45,BIG SANDY 100J,2096333,1193845,2248,37645,3330070, 6873 , 3914 , 7 , 123 , 10918 ,ELBERT,2010
46,ELBERT 200,1481918,1009204,0,62475,2553598, 6336 , 4315 , 0 , 267 , 10917 ,ELBERT,2010
47,AGATE 300,425028,441689,0,7571,874287, 8350 , 8678 , 0 , 149 , 17177 ,ELBERT,2010
48,CALHAN RJ-1,3023985,2146057,0,2418451,7588494, 5001 , 3549 , 0 , 3999 , 12549 ,EL PASO,2010
49,HARRISON 2,54044629,42646191,287025,50164023,147141867, 5218 , 4117 , 28 , 4843 , 14206 ,EL PASO,2010
50,WIDEFIELD 3,39516228,28157023,1241582,3812723,72727556, 4729 , 3369 , 149 , 456 , 8703 ,EL PASO,2010
51,FOUNTAIN 8,37870779,27346307,147492,11470695,76835273, 5351 , 3864 , 21 , 1621 , 10857 ,EL PASO,2010
52,COLORADO SPRINGS 11,161092973,108186543,1092919,47693330,318065765, 5704 , 3830 , 39 , 1689 , 11261 ,EL PASO,2010
53,CHEYENNE MOUNTAIN 12,22570602,14167082,42775,5416241,42196700, 5083 , 3191 , 10 , 1220 , 9504 ,EL PASO,2010
54,MANITOU SPRINGS 14,7918041,5412704,5492,7182559,20518796, 5893 , 4028 , 4 , 5345 , 15270 ,EL PASO,2010
55,ACADEMY 20,114948955,73502417,110779,30962350,219524501, 5252 , 3358 , 5 , 1415 , 10029 ,EL PASO,2010
56,ELLICOTT 22,3872894,3200748,0,1184566,8258208, 4142 , 3423 , 0 , 1267 , 8831 ,EL PASO,2010
57,PEYTON 23 JT,2901835,2485926,0,629396,6017158, 4368 , 3742 , 0 , 947 , 9057 ,EL PASO,2010
58,HANOVER 28,1482289,1294630,0,8958674,11735593, 5719 , 4995 , 0 , 34563 , 45276 ,EL PASO,2010
59,LEWIS-PALMER 38,25630125,21124864,256360,11822654,58834002, 4549 , 3750 , 46 , 2098 , 10443 ,EL PASO,2010
60,FALCON 49,59459096,48404997,13822,18873666,126751580, 4239 , 3451 , 1 , 1345 , 9036 ,EL PASO,2010
61,EDISON 54 JT,1296122,1132324,0,108172,2536619, 6366 , 5562 , 0 , 531 , 12459 ,EL PASO,2010
62,MIAMI/YODER 60 JT,2064279,1619294,0,366832,4050406, 6481 , 5084 , 0 , 1152 , 12717 ,EL PASO,2010
63,CANON CITY RE-1,17962021,12674685,216931,2708711,33562348, 4721 , 3331 , 57 , 712 , 8822 ,FREMONT,2010
64,FLORENCE RE-2,7606216,6000356,53636,1936295,15596503, 4580 , 3613 , 32 , 1166 , 9392 ,FREMONT,2010
65,COTOPAXI RE-3,1609096,1163295,0,249481,3021872, 7405 , 5353 , 0 , 1148 , 13906 ,FREMONT,2010
66,ROARING FORK RE-1,30316806,16946356,0,9955959,57219121, 5909 , 3303 , 0 , 1941 , 11153 ,GARFIELD,2010
67,GARFIELD RE-2,23068475,17703852,19496,24546883,65338706, 4802 , 3685 , 4 , 5110 , 13602 ,GARFIELD,2010
68,GARFIELD 16,5762215,5234109,0,7879888,18876212, 4908 , 4458 , 0 , 6711 , 16077 ,GARFIELD,2010
69,GILPIN COUNTY RE-1,2467691,2159324,0,1943793,6570808, 7435 , 6506 , 0 , 5857 , 19798 ,GILPIN,2010
70,WEST GRAND 1-JT.,2652712,2044068,1876,1023870,5722526, 5802 , 4471 , 4 , 2239 , 12516 ,GRAND,2010
71,EAST GRAND 2,7272497,5708451,6348,3339793,16327089, 5466 , 4291 , 5 , 2510 , 12272 ,GRAND,2010
72,GUNNISON WATERSHED RE1J,9412766,6288162,24,15273205,30974157, 5439 , 3634 , 0 , 8825 , 17898 ,GUNNISON,2010
73,HINSDALE COUNTY RE 1,721625,601989,6880,108459,1438952, 8560 , 7141 , 82 , 1287 , 17069 ,HINSDALE,2010
74,HUERFANO RE-1,3050360,2714652,0,520259,6285272, 5177 , 4607 , 0 , 883 , 10667 ,HUERFANO,2010
75,LA VETA RE-2,1484452,1329084,0,168002,2981538, 6027 , 5396 , 0 , 682 , 12105 ,HUERFANO,2010
76,NORTH PARK R-1,1458972,1289280,10979,0,2759231, 7421 , 6558 , 56 , 0 , 14035 ,JACKSON,2010
77,JEFFERSON COUNTY R-1,454936511,300391391,200277,136328752,891856933, 5603 , 3700 , 2 , 1679 , 10985 ,JEFFERSON,2010
78,EADS RE-1,1278627,908047,0,0,2186674, 7306 , 5189 , 0 , 0 , 12495 ,KIOWA,2010
79,PLAINVIEW RE-2,617936,560560,0,2335,1180831, 7902 , 7168 , 0 , 30 , 15100 ,KIOWA,2010
80,ARRIBA-FLAGLER C-20,1206717,898842,25935,124469,2255963, 7770 , 5788 , 167 , 801 , 14526 ,KIT CARSON,2010
81,HI PLAINS R-23,877543,775064,0,756,1653363, 8007 , 7072 , 0 , 7 , 15085 ,KIT CARSON,2010
82,STRATTON R-4,1295799,977592,0,61104,2334495, 6512 , 4913 , 0 , 307 , 11731 ,KIT CARSON,2010
83,BETHUNE R-5,1108049,845682,0,974,1954705, 9188 , 7012 , 0 , 8 , 16208 ,KIT CARSON,2010
84,BURLINGTON RE-6J,3688842,2547574,33597,779506,7049519, 5005 , 3456 , 46 , 1058 , 9564 ,KIT CARSON,2010
85,LAKE COUNTY R-1,6025504,4690713,838499,1135497,12690213, 5553 , 4323 , 773 , 1047 , 11696 ,LAKE,2010
86,DURANGO 9-R,23171208,16241279,166236,38246828,77825551, 5142 , 3604 , 37 , 8487 , 17269 ,LA PLATA,2010
87,BAYFIELD 10 JT-R,6276421,5090927,0,1519012,12886360, 4697 , 3809 , 0 , 1137 , 9643 ,LA PLATA,2010
88,IGNACIO 11 JT,5266768,4611626,242,374139,10252776, 6762 , 5921 , 0 , 480 , 13163 ,LA PLATA,2010
89,POUDRE R-1,131660692,97631552,483298,33289706,263065248, 5164 , 3829 , 19 , 1306 , 10318 ,LARIMER,2010
90,THOMPSON R-2J,72245352,56991771,2224388,14897306,146358817, 4993 , 3939 , 154 , 1030 , 10115 ,LARIMER,2010
