district_id,school_id,eng_yn,math_yn,read_yn,sci_yn,year,pct_remediation,est_child_poverty,est_total_child,est_total_pop,child_pov_ratio,child_adult_ratio,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,achievement_dir,growth_dir,overall_dir,school_grade,rank,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate,total,pct_amind,pct_asian,pct_black,pct_hisp,pct_white,pct_pi,pct_2ormore,pct_fr,district_name,school
10,309,0.0,0.0,0.0,0.0,2010,,1069,6160,30589,0.17353896103896105,0.201379580895093,ADAMS,39962942,23760636,237704,5474579,69435862, 5556 , 3303 , 33 , 761 , 9653 ,1.0,1.0,1.0,5,278,5,5,5,5,9,7,10,7,62.0,311,0.003215434,0.032154341,0.012861736,0.710610932,0.234726688,0.0,0.006430868,0.733,MAPLETON 1,SKYVIEW ACADEMY HIGH SCHOOL
20,15,1.0,0.0,0.0,0.0,2010,,4446,41735,210785,0.10652929196118366,0.19799796000664183,ADAMS,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,1.0,1.0,0.0,6,223,7,6,6,5,6,6,7,5,78.5,1306,0.003062787,0.025267994,0.006891271,0.250382848,0.706738132,0.001531394,0.006125574,0.155,ADAMS 12 FIVE STAR,ACADEMY OF CHARTER SCHOOLS
20,4108,1.0,0.0,0.0,0.0,2010,0.386667,4446,41735,210785,0.10652929196118366,0.19799796000664183,ADAMS,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,0.0,0.0,0.0,6,197,6,7,6,6,6,6,8,5,85.3,1813,0.001103144,0.00827358,0.00275786,0.241588527,0.745173745,0.0,0.001103144,0.099,ADAMS 12 FIVE STAR,HORIZON HIGH SCHOOL
20,5043,1.0,0.0,0.0,0.0,2010,0.23506,4446,41735,210785,0.10652929196118366,0.19799796000664183,ADAMS,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,1.0,0.0,0.0,9,79,9,10,9,9,9,9,9,9,86.7,2023,0.003460208,0.056846268,0.010874938,0.156697973,0.767671775,0.000494315,0.003954523,0.152,ADAMS 12 FIVE STAR,LEGACY HIGH SCHOOL
20,5816,1.0,0.0,0.0,0.0,2010,0.433566,4446,41735,210785,0.10652929196118366,0.19799796000664183,ADAMS,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,0.0,0.0,0.0,6,248,5,6,6,6,7,6,7,6,70.0,1762,0.001702611,0.010783201,0.010215664,0.569239501,0.403518729,0.000567537,0.003972758,0.379,ADAMS 12 FIVE STAR,THORNTON HIGH SCHOOL
20,6402,0.0,0.0,0.0,0.0,2010,0.390625,4446,41735,210785,0.10652929196118366,0.19799796000664183,ADAMS,220263102,130356958,943009,83867989,435431057, 5482 , 3244 , 23 , 2087 , 10837 ,0.0,1.0,0.0,6,257,5,6,5,5,9,9,8,7,67.2,1735,0.003458213,0.014985591,0.010951009,0.519884726,0.44610951,0.0,0.004610951,0.336,ADAMS 12 FIVE STAR,NORTHGLENN HIGH SCHOOL
30,24,0.0,0.0,0.0,0.0,2010,0.569231,1910,8238,36636,0.23185239135712551,0.22486079266295447,ADAMS,34792431,34598159,703485,7862015,77956091, 4956 , 4928 , 100 , 1120 , 11104 ,-1.0,0.0,1.0,1,337,3,5,3,2,1,3,3,1,69.8,1695,0.009439528,0.003539823,0.033628319,0.815929204,0.136873156,0.0,0.000589971,0.737,ADAMS COUNTY 14,ADAMS CITY HIGH SCHOOL
40,1022,1.0,0.0,0.0,0.0,2010,0.472,1594,16322,77909,0.09765960053914961,0.20950082788894736,ADAMS,62557927,50921503,219987,18440305,132139723, 4397 , 3579 , 15 , 1296 , 9287 ,0.0,0.0,-1.0,6,237,6,6,6,6,5,6,5,5,86.2,1647,0.005464481,0.015179114,0.007893139,0.48391014,0.474195507,0.001821494,0.011536126,0.138,BRIGHTON 27J,BRIGHTON HIGH SCHOOL
60,8334,1.0,0.0,0.0,0.0,2010,0.433333,64,1082,4820,0.059149722735674676,0.22448132780082988,ADAMS,4497076,3223717,-4300,1009507,8726000, 4697 , 3367 ,4, 1054 , 9114 ,0.0,0.0,1.0,10,52,8,6,7,7,9,7,9,9,94.9,318,0.012578616,0.022012579,0.031446541,0.081761006,0.852201258,0.0,0.0,0.17,STRASBURG 31J,STRASBURG HIGH SCHOOL
70,9466,0.0,0.0,0.0,0.0,2010,0.514286,2845,12742,70626,0.22327735049442787,0.18041514456432475,ADAMS,51573466,45083219,672186,17935732,115264602, 5423 , 4740 , 71 , 1886 , 12119 ,-1.0,0.0,0.0,3,323,5,5,5,5,4,5,3,6,62.0,2342,0.00853971,0.072587532,0.020495303,0.647309991,0.240819812,0.000853971,0.009393681,0.7390000000000001,WESTMINSTER 50,WESTMINSTER HIGH SCHOOL
100,118,0.0,0.0,0.0,0.0,2010,0.483333,705,2419,14365,0.2914427449359239,0.1683954054994779,ALAMOSA,9485099,7644903,0,11335082,28465085, 4496 , 3624 , 0 , 5373 , 13492 ,0.0,0.0,0.0,6,267,6,6,6,5,6,3,6,6,84.7,576,0.001736111,0.017361111,0.003472222,0.578125,0.394097222,0.001736111,0.003472222,0.568,ALAMOSA RE 11J,ALAMOSA HIGH SCHOOL
120,2746,0.0,0.0,0.0,0.0,2010,0.42029,565,2911,25210,0.19409137753349365,0.11547005156683855,ARAPAHOE,18997302,13744698,198072,3669671,36609743, 6239 , 4514 , 65 , 1205 , 12024 ,-1.0,0.0,0.0,4,287,4,5,5,4,5,1,6,5,78.6,621,0.009661836,0.014492754,0.043478261,0.289855072,0.628019324,0.004830918,0.009661836,0.425,ENGLEWOOD 1,ENGLEWOOD HIGH SCHOOL
123,7842,0.0,0.0,0.0,0.0,2010,,403,1439,8071,0.28005559416261294,0.1782926527072234,ARAPAHOE,10383421,9979789,127830,2772336,23263376, 6942 , 6672 , 85 , 1853 , 15552 ,1.0,0.0,1.0,5,266,4,4,4,4,9,7,9,9,70.8,517,0.011605416,0.025145068,0.056092843,0.696324952,0.208897485,0.0,0.001934236,0.642,SHERIDAN 2,SHERIDAN HIGH SCHOOL
130,1570,1.0,1.0,1.0,1.0,2010,0.128395,4695,54582,274870,0.08601736836319666,0.19857387128460727,ARAPAHOE,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,0.0,0.0,0.0,12,28,12,13,12,12,9,7,9,7,92.8,3443,0.003485333,0.084519315,0.033981992,0.093813535,0.763868719,0.001161778,0.019169329,0.086,CHERRY CREEK 5,CHERRY CREEK HIGH SCHOOL
130,2357,1.0,0.0,0.0,0.0,2010,0.34717,4695,54582,274870,0.08601736836319666,0.19857387128460727,ARAPAHOE,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,0.0,0.0,0.0,7,129,6,8,7,7,7,6,8,7,83.6,2376,0.002946128,0.066077441,0.17003367,0.172138047,0.556397306,0.003787879,0.028619529,0.28300000000000003,CHERRY CREEK 5,EAGLECREST HIGH SCHOOL
130,3589,1.0,0.0,1.0,0.0,2010,0.25,4695,54582,274870,0.08601736836319666,0.19857387128460727,ARAPAHOE,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,0.0,0.0,-1.0,9,62,9,9,10,9,8,7,8,7,91.6,2594,0.008095605,0.091364688,0.088280648,0.142251349,0.617964534,0.005782575,0.046260601,0.153,CHERRY CREEK 5,GRANDVIEW HIGH SCHOOL
130,6625,0.0,0.0,0.0,0.0,2010,0.470899,4695,54582,274870,0.08601736836319666,0.19857387128460727,ARAPAHOE,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,0.0,-1.0,0.0,5,271,5,6,6,6,6,6,6,6,77.5,2193,0.005927953,0.051983584,0.337893297,0.307797538,0.260373917,0.004103967,0.031919745,0.569,CHERRY CREEK 5,OVERLAND HIGH SCHOOL
130,8020,1.0,0.0,0.0,0.0,2010,0.284553,4695,54582,274870,0.08601736836319666,0.19857387128460727,ARAPAHOE,325369557,149536602,1109534,133309143,609324836, 6587 , 3027 , 22 , 2699 , 12336 ,0.0,0.0,0.0,7,138,7,9,8,8,6,6,6,6,85.1,2324,0.007314974,0.077022375,0.169104991,0.154475043,0.549913941,0.004733219,0.037435456,0.273,CHERRY CREEK 5,SMOKY HILL HIGH SCHOOL
