school,district_id,district_name,emh,emh_combined,school_id,achievement_dir,growth_dir,overall_dir
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,False,10,1.0,0.0,-1.0
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,11,1.0,0.0,0.0
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,11,1.0,1.0,1.0
ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,12,0.0,0.0,0.0
GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,14,0.0,1.0,0.0
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,15,0.0,0.0,0.0
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,15,1.0,1.0,0.0
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,15,0.0,0.0,-1.0
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,16,0.0,0.0,-1.0
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,17,0.0,0.0,0.0
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,18,0.0,0.0,0.0
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,19,0.0,0.0,0.0
ADAMS CITY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,False,20,1.0,0.0,1.0
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,22,,,-1.0
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,24,-1.0,0.0,1.0
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,25,0.0,1.0,0.0
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,26,0.0,-1.0,-1.0
ADULT & FAMILY LITERACY,980,HARRISON 2,H,False,29,,,
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,30,0.0,0.0,1.0
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,33,1.0,-1.0,-1.0
MC LAIN COMMUNITY HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,34,,,0.0
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,E,False,35,0.0,-1.0,1.0
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,M,False,35,,,
RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,37,0.0,0.0,0.0
BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,38,0.0,1.0,0.0
GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,False,39,1.0,0.0,0.0
RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,False,40,0.0,-1.0,-1.0
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,False,42,0.0,-1.0,-1.0
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,False,42,-1.0,1.0,0.0
AGATE ELEMENTARY SCHOOL,960,AGATE 300,E,False,44,,,
AGATE JUNIOR-SENIOR HIGH SCHOOL,960,AGATE 300,H,True,48,,,1.0
AGATE JUNIOR-SENIOR HIGH SCHOOL,960,AGATE 300,M,True,48,,,1.0
RICO ELEMENTARY SCHOOL,890,DOLORES COUNTY RE NO.2,E,False,50,,,
RICO ELEMENTARY SCHOOL,890,DOLORES COUNTY RE NO.2,M,False,50,,,
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,2810,CENTER 26 JT,H,False,51,,,0.0
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,52,1.0,1.0,1.0
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,53,0.0,-1.0,-1.0
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,False,53,0.0,0.0,0.0
ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,54,1.0,0.0,1.0
GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,False,55,0.0,0.0,0.0
FOWLER ELEMENTARY SCHOOL,2540,FOWLER R-4J,E,False,56,0.0,0.0,0.0
ROCKY TOP MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,57,0.0,0.0,0.0
