school,district_id,district_name,EMH,EMH_combined,school_id,achievement_dir,growth_dir,overall_dir,emh
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,,10,up,flat,flat,H
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,11,flat,down,flat,E
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,,11,flat,down,flat,M
ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,12,flat,flat,flat,E
GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,14,down,flat,flat,E
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,,15,flat,flat,down,E
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,,15,up,flat,flat,H
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,M,,15,flat,flat,flat,M
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,16,flat,flat,flat,E
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,17,flat,flat,flat,E
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,18,flat,up,flat,M
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,19,flat,flat,down,E
ADAMS CITY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,,20,flat,flat,flat,M
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,,22,flat,,down,H
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,,24,up,flat,flat,H
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,25,flat,down,down,M
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,26,flat,flat,down,E
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,30,up,flat,up,E
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,33,down,,down,H
MC LAIN COMMUNITY HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,34,,,flat,H
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,E,,35,down,,up,E
RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,37,flat,flat,flat,E
BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,38,up,flat,flat,E
GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,39,flat,flat,flat,M
RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,,40,flat,up,up,H
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,,42,up,flat,flat,E
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,,42,up,up,flat,M
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,2810,CENTER 26 JT,H,,51,,,flat,H
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,,52,flat,flat,flat,E
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,,53,up,flat,flat,E
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,,53,up,down,flat,M
ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,,54,flat,flat,down,E
