district_id,district_name,school_id,school,emh,emh_combined,achievement_dir,growth_dir,overall_dir
1040,ACADEMY 20,17,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,19,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,110,ACADEMY ONLINE HIGH SCHOOL,H,True,,,1.0
1040,ACADEMY 20,76,AIR ACADEMY HIGH SCHOOL,H,True,0.0,0.0,0.0
1040,ACADEMY 20,249,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,True,0.0,0.0,1.0
1040,ACADEMY 20,209,ASPEN VALLEY HIGH SCHOOL,H,True,0.0,0.0,0.0
1040,ACADEMY 20,74,CHALLENGER MIDDLE SCHOOL,M,True,0.0,0.0,0.0
1040,ACADEMY 20,1615,CHINOOK TRAIL ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,E,True,0.0,-1.0,0.0
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,M,True,0.0,0.0,0.0
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,H,True,0.0,0.0,0.0
1040,ACADEMY 20,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,2358,EAGLEVIEW MIDDLE SCHOOL,M,True,0.0,0.0,0.0
1040,ACADEMY 20,2524,EDITH WOLFORD ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,2800,EXPLORER ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,3104,FOOTHILLS ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,3238,FRONTIER ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,3985,HIGH PLAINS ELEMENTARY SCHOOL,E,True,-1.0,0.0,-1.0
1040,ACADEMY 20,5126,LIBERTY HIGH SCHOOL,H,True,0.0,1.0,0.0
1040,ACADEMY 20,6140,MOUNTAIN RIDGE MIDDLE SCHOOL,M,True,0.0,0.0,0.0
1040,ACADEMY 20,6158,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,6937,PINE CREEK HIGH SCHOOL,H,True,0.0,-1.0,0.0
1040,ACADEMY 20,6960,PIONEER ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,7159,PRAIRIE HILLS ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
1040,ACADEMY 20,7240,RAMPART HIGH SCHOOL,H,True,0.0,0.0,0.0
1040,ACADEMY 20,7247,RANCH CREEK ELEMENTARY,E,True,0.0,1.0,1.0
1040,ACADEMY 20,7460,ROCKRIMMON ELEMENTARY SCHOOL,E,True,0.0,1.0,1.0
1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,M,True,0.0,1.0,1.0
1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,H,True,0.0,0.0,1.0
1040,ACADEMY 20,1627,THE CLASSICAL ACADEMY CHARTER,E,True,0.0,0.0,0.0
1040,ACADEMY 20,1630,THE CLASSICAL ACADEMY HIGH SCHOOL,H,True,0.0,0.0,0.0
1040,ACADEMY 20,1629,THE CLASSICAL ACADEMY MIDDLE SCHOOL,M,True,0.0,0.0,0.0
1040,ACADEMY 20,8813,THE DA VINCI ACADEMY SCHOOL,E,True,0.0,-1.0,0.0
1040,ACADEMY 20,8851,TIMBERVIEW MIDDLE SCHOOL,M,True,0.0,1.0,0.0
1040,ACADEMY 20,9714,WOODMENROBERTS ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,M,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,H,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,E,True,-1.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,M,True,0.0,-1.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),M,True,0.0,1.0,1.0
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),H,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,E,True,-1.0,-1.0,-1.0
20,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,E,True,0.0,-1.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,E,True,0.0,-1.0,-1.0
20,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,E,True,-1.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,14,GLACIER PEAK ELEMENTARY SCHOOL,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,E,True,0.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,E,True,-1.0,0.0,0.0
20,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,H,True,0.0,0.0,0.0
