school,district_id,district_name,emh,emh_combined,school_id,achievement_dir,growth_dir,overall_dir,year
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,False,10,1.0,0.0,-1.0,2010
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,11,1.0,0.0,0.0,2010
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,11,1.0,1.0,1.0,2010
ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,12,0.0,0.0,0.0,2010
GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,14,0.0,1.0,0.0,2010
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,15,0.0,0.0,0.0,2010
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,15,1.0,1.0,0.0,2010
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,15,0.0,0.0,-1.0,2010
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,16,0.0,0.0,-1.0,2010
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,17,0.0,0.0,0.0,2010
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,18,0.0,0.0,0.0,2010
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,19,0.0,0.0,0.0,2010
ADAMS CITY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,False,20,1.0,0.0,1.0,2010
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,22,,,-1.0,2010
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,24,-1.0,0.0,1.0,2010
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,25,0.0,1.0,0.0,2010
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,26,0.0,-1.0,-1.0,2010
ADULT & FAMILY LITERACY,980,HARRISON 2,H,False,29,,,,2010
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,30,0.0,0.0,1.0,2010
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,33,1.0,-1.0,-1.0,2010
MC LAIN COMMUNITY HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,34,,,0.0,2010
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,E,False,35,0.0,-1.0,1.0,2010
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,M,False,35,,,,2010
RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,37,0.0,0.0,0.0,2010
