district_id,district_name,school_id,school,pct_fr,year
10.0,MAPLETON 1,187.0,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0.6559999999999999,2010
10.0,MAPLETON 1,212.0,MAPLETON EARLY COLLEGE HIGH SCHOOL,0.69,2010
10.0,MAPLETON 1,263.0,GLOBAL LEADERSHIP ACADEMY,0.906,2010
10.0,MAPLETON 1,309.0,SKYVIEW ACADEMY HIGH SCHOOL,0.733,2010
10.0,MAPLETON 1,501.0,MONTEREY COMMUNITY SCHOOL,0.8079999999999999,2010
10.0,MAPLETON 1,502.0,MEADOW COMMUNITY SCHOOL,0.762,2010
10.0,MAPLETON 1,503.0,YORK INTERNATIONAL,0.732,2010
10.0,MAPLETON 1,504.0,WELBY MONTESSORI SCHOOL,0.7829999999999999,2010
10.0,MAPLETON 1,505.0,ACHIEVE ACADEMY,0.833,2010
10.0,MAPLETON 1,506.0,EXPLORE ELEMENTARY,0.6779999999999999,2010
10.0,MAPLETON 1,507.0,ADVENTURE ELEMENTARY,0.909,2010
10.0,MAPLETON 1,509.0,CLAYTON PARTNERSHIP SCHOOL,0.765,2010
10.0,MAPLETON 1,1796.0,COLORADO CONNECTIONS ACADEMY,0.4039999999999999,2010
10.0,MAPLETON 1,4699.0,THE NEW AMERICA SCHOOL,0.667,2010
10.0,MAPLETON 1,6315.0,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0.627,2010
10.0,MAPLETON 1,9036.0,VALLEY VIEW K-8,0.703,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,14.0,GLACIER PEAK ELEMENTARY SCHOOL,0.3279999999999999,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,15.0,ACADEMY OF CHARTER SCHOOLS,0.155,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,57.0,ROCKY TOP MIDDLE SCHOOL,0.129,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,59.0,MERIDIAN ELEMENTARY SCHOOL,0.035,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,210.0,VANTAGE POINT,0.374,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,301.0,ARAPAHOE RIDGE ELEMENTARY SCHOOL,0.293,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,1388.0,CENTENNIAL ELEMENTARY SCHOOL,0.534,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,1480.0,CENTURY MIDDLE SCHOOL,0.254,2010
20.0,ADAMS 12 FIVE STAR SCHOOLS,1519.0,STARGATE CHARTER SCHOOL,0.034,2010
