district_id,school_id,school,city,state,zipcode
880,10,Abraham Lincoln High School,Denver,CO,80219
900,11,Academy Charter School,Castle Rock,CO,80104
900,12,Acres Green Elementary School,Littleton,CO,80124
20,14,Glacier Peak Elementary School,Brighton,CO,80605
20,15,Academy Of Charter Schools,Westminster,CO,80031
130,16,Fox Hollow Elementary School,Aurora,CO,80116
1040,17,Academy Endeavour Elementary School,Colorado Springs,CO,80920
130,18,Liberty Middle School,Aurora,CO,80016
1040,19,Academy International Elementary School,Colorado Springs,CO,80920
30,20,Adams City Middle School,Commerce City,CO,80022
30,22,Lester R Arnold High School,Commerce City,CO,80022
30,24,Adams City High School,Commerce City,CO,80022
2700,25,Sky View Middle School,Pueblo West,CO,81007
2700,26,Desert Sage Elementary School,Pueblo West,CO,81007
980,29,Adult & Family Literacy,Colorado Springs,CO,80906
1420,30,Adams Elementary School,Westminster,CO,80021
1420,33,Mc Lain High School,Lakewood,CO,80228
1420,34,Mc Lain Community High School,Lakewood,CO,80228
970,35,Frontier Charter Academy,Calhan,CO,80808
910,37,Red Hill Elementary School,Gypsum,CO,81637
910,38,Brush Creek Elementary School,Eagle,CO,81631
910,39,Gypsum Creek Middle School,Gypsum,CO,81637
880,40,Ridge View Academy Charter School,Watkins,CO,80137
2640,42,Aspen Community Charter School,Woody Creek,CO,81656
960,44,Agate Elementary School,Agate,CO,80101
960,48,Agate Junior-Senior High School,Agate,CO,80101
890,50,Rico Elementary School,Rico,CO,81332
2810,51,The Academic Recovery Center Of San Luis Valley,Center,CO,81125
3120,52,Heiman Elementary School,Evans,CO,80620
3120,53,Winograd K-8 Elementary School,Greeley,CO,80634
3120,54,Romero Elementary School,Greeley,CO,80631
3100,55,Grandview Elementary School,Windsor,CO,80550
2540,56,Fowler Elementary School,Fowler,CO,80139
20,57,Rocky Top Middle School,Thornton,CO,80602
1620,58,Aguilar Elementary School,Aguilar,CO,81020
20,59,Meridian Elementary School,Broomfield,CO,80020
470,60,Legacy Elementary School,Frederick,CO,80504
470,61,Alpine Elementary School,Longmont,CO,80501
1390,63,Peakview School,Walsenburg,CO,81089
220,64,Archuleta County High School,Pagosa Springs,CO,81147
1195,65,Coal Ridge High School,New Castle,CO,81647
1620,66,Aguilar Junior-Senior High School,Aguilar,CO,81020
880,67,Academy Of Urban Learning,Denver,CO,80218
20,70,Adams12 Five Star Preschool,Thornton,CO,80241
1040,74,Challenger Middle School,Colorado Springs,CO,80920
8001,75,Animas High School,Durango,CO,81320
1040,76,Air Academy High School,Usaf Academy,CO,80840
3030,86,Akron Elementary School,Akron,CO,80720
3030,90,Akron High School,Akron,CO,80720
1420,108,Alameda High School,Lakewood,CO,80232
1420,109,Arvada K-8,Arvada,CO,80002
1040,110,Academy Online High School,Colorado Springs,CO,80920
100,114,Ortega Middle School,Alamosa,CO,81101
100,115,Alamosa Elementary School,Alamosa,CO,81101
100,118,Alamosa High School,Alamosa,CO,81101
100,119,Alamosa Open School,Alamosa,CO,81101
30,124,Stars Early Learning Center,Commerce City,CO,80022
480,125,Arapahoe Ridge High School,Boulder,CO,80303
123,138,Alice Terry Elementary School,Englewood,CO,80150
130,141,Sky Vista Middle School,Aurora,CO,80015
1550,146,Ridgeview Classical Charter Schools,Fort Collins,CO,80525
1420,148,Allendale Elementary School,Arvada,CO,80004
30,186,Alsup Elementary School,Commerce City,CO,80022
10,187,Mapleton Expeditionary School Of The Arts,Thornton,CO,80299
2660,200,Alta Vista Charter School,Lamar,CO,81052
900,201,Daniel C Oakes High School--Castle Rock,Castle Rock,CO,80104
1828,202,Smith High School,Sterling,CO,80751
1000,203,Lorraine Secondary School,Fountain,CO,80817
910,205,Red Canyon High School,Edwards,CO,81631
120,206,Colorado's Finest Alternative High School,Englewood,CO,80110
1040,209,Aspen Valley High School,Colorado Springs,CO,80920
20,210,Vantage Point,Northglenn,CO,80234
10,212,Mapleton Early College High School,Denver,CO,80229
180,213,Axl Academy,Aurora,CO,80012
180,214,Altura Elementary School,Aurora,CO,80011
900,215,American Academy At Castle Pines Charter,Lone Tree,CO,80124
180,219,Aps Online School,Aurora,CO,80010
880,220,Amesse Elementary School,Denver,CO,80239
1520,225,Animas Valley Elementary School,Durango,CO,81301
470,226,Altona Middle School,Longmont,CO,80503
