school_id,school,city,state,zipcode,LowestGrade,Unnamed: 8,School Type,district_id,district_name,District Size,District Setting
10,ABRAHAM LINCOLN HIGH SCHOOL,DENVER,CO,80219,9th Grade,12th Grade,Senior,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
11,ACADEMY CHARTER SCHOOL,CASTLE ROCK,CO,80104,Kindergarten,9th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
12,ACRES GREEN ELEMENTARY SCHOOL,LITTLETON,CO,80124,Preschool,6th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
14,GLACIER PEAK ELEMENTARY SCHOOL,BRIGHTON,CO,80605,Kindergarten,5th Grade,Elementary,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
15,ACADEMY OF CHARTER SCHOOLS,WESTMINSTER,CO,80031,Kindergarten,12th Grade,Senior,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
16,FOX HOLLOW ELEMENTARY SCHOOL,AURORA,CO,80116,Preschool,5th Grade,Elementary,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
17,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,80920,Kindergarten,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
18,LIBERTY MIDDLE SCHOOL,AURORA,CO,80016,6th Grade,8th Grade,Middle,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
19,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,80920,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
20,ADAMS CITY MIDDLE SCHOOL,COMMERCE CITY,CO,80022,6th Grade,8th Grade,Middle,30,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
22,LESTER R ARNOLD HIGH SCHOOL,COMMERCE CITY,CO,80022,9th Grade,12th Grade,Senior,30,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
24,ADAMS CITY HIGH SCHOOL,COMMERCE CITY,CO,80022,9th Grade,12th Grade,Senior,30,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
25,SKY VIEW MIDDLE SCHOOL,PUEBLO WEST,CO,81007,6th Grade,8th Grade,Middle,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
26,DESERT SAGE ELEMENTARY SCHOOL,PUEBLO WEST,CO,81007,Preschool,5th Grade,Elementary,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
29,ADULT & FAMILY LITERACY,COLORADO SPRINGS,CO,80906,10th Grade,12th Grade,Senior,980,HARRISON 2,"6,001 - 25,000",Urban-Suburban
30,ADAMS ELEMENTARY SCHOOL,WESTMINSTER,CO,80021,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
33,MC LAIN HIGH SCHOOL,LAKEWOOD,CO,80228,7th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
34,MC LAIN COMMUNITY HIGH SCHOOL,LAKEWOOD,CO,80228,8th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
35,FRONTIER CHARTER ACADEMY,CALHAN,CO,80808,Kindergarten,8th Grade,Elementary,970,CALHAN RJ-1,301 - 600,Rural
37,RED HILL ELEMENTARY SCHOOL,GYPSUM,CO,81637,Kindergarten,5th Grade,Elementary,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
38,BRUSH CREEK ELEMENTARY SCHOOL,EAGLE,CO,81631,Preschool,5th Grade,Elementary,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
39,GYPSUM CREEK MIDDLE SCHOOL,GYPSUM,CO,81637,6th Grade,8th Grade,Middle,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
40,RIDGE VIEW ACADEMY CHARTER SCHOOL,WATKINS,CO,80137,9th Grade,12th Grade,Senior,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
42,ASPEN COMMUNITY CHARTER SCHOOL,WOODY CREEK,CO,81656,Preschool,8th Grade,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
44,AGATE ELEMENTARY SCHOOL,AGATE,CO,80101,Preschool,5th Grade,Elementary,960,AGATE 300,300 or less,Rural
48,AGATE JUNIOR-SENIOR HIGH SCHOOL,AGATE,CO,80101,6th Grade,12th Grade,Senior,960,AGATE 300,300 or less,Rural
50,RICO ELEMENTARY SCHOOL,RICO,CO,81332,Preschool,8th Grade,Elementary,890,DOLORES COUNTY RE NO.2,300 or less,Rural
51,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,CENTER,CO,81125,9th Grade,12th Grade,Senior,2810,CENTER 26 JT,601 - 1.200,Outlying Town
52,HEIMAN ELEMENTARY SCHOOL,EVANS,CO,80620,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
53,WINOGRAD K-8 ELEMENTARY SCHOOL,GREELEY,CO,80634,Preschool,8th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
54,ROMERO ELEMENTARY SCHOOL,GREELEY,CO,80631,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
55,GRANDVIEW ELEMENTARY SCHOOL,WINDSOR,CO,80550,Preschool,5th Grade,Elementary,3100,WINDSOR RE-4,"1,201 - 6,000",Outlying Town
56,FOWLER ELEMENTARY SCHOOL,FOWLER,CO,80139,Kindergarten,6th Grade,Elementary,2540,FOWLER R-4J,301 - 600,Outlying Town
57,ROCKY TOP MIDDLE SCHOOL,THORNTON,CO,80602,6th Grade,8th Grade,Middle,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
58,AGUILAR ELEMENTARY SCHOOL,AGUILAR,CO,81020,Preschool,6th Grade,Elementary,1620,AGUILAR REORGANIZED 6,300 or less,Rural
59,MERIDIAN ELEMENTARY SCHOOL,BROOMFIELD,CO,80020,Kindergarten,5th Grade,Elementary,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
60,LEGACY ELEMENTARY SCHOOL,FREDERICK,CO,80504,Preschool,5th Grade,Elementary,470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
61,ALPINE ELEMENTARY SCHOOL,LONGMONT,CO,80501,Preschool,5th Grade,Elementary,470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
63,PEAKVIEW SCHOOL,WALSENBURG,CO,81089,Preschool,8th Grade,Elementary,1390,HUERFANO RE-1,601 - 1.200,Outlying Town
64,ARCHULETA COUNTY HIGH SCHOOL,PAGOSA SPRINGS,CO,81147,7th Grade,12th Grade,Senior,220,ARCHULETA COUNTY 50 JT,"1,201 - 6,000",Outlying Town
65,COAL RIDGE HIGH SCHOOL,NEW CASTLE,CO,81647,9th Grade,12th Grade,Senior,1195,GARFIELD RE-2,"1,201 - 6,000",Outlying Town
66,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,AGUILAR,CO,81020,7th Grade,12th Grade,Senior,1620,AGUILAR REORGANIZED 6,300 or less,Rural
67,ACADEMY OF URBAN LEARNING,DENVER,CO,80218,9th Grade,12th Grade,Senior,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
70,ADAMS12 FIVE STAR PRESCHOOL,THORNTON,CO,80241,Preschool,Preschool,Elementary,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
74,CHALLENGER MIDDLE SCHOOL,COLORADO SPRINGS,CO,80920,6th Grade,8th Grade,Middle,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
75,ANIMAS HIGH SCHOOL,DURANGO,CO,81320,9th Grade,10th Grade,Senior,8001,Charter School Institute,,
76,AIR ACADEMY HIGH SCHOOL,USAF ACADEMY,CO,80840,9th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
86,AKRON ELEMENTARY SCHOOL,AKRON,CO,80720,Preschool,8th Grade,Elementary,3030,AKRON R-1,301 - 600,Outlying Town
90,AKRON HIGH SCHOOL,AKRON,CO,80720,9th Grade,12th Grade,Senior,3030,AKRON R-1,301 - 600,Outlying Town
108,ALAMEDA HIGH SCHOOL,LAKEWOOD,CO,80232,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
109,ARVADA K-8,ARVADA,CO,80002,Kindergarten,8th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
110,ACADEMY ONLINE HIGH SCHOOL,COLORADO SPRINGS,CO,80920,6th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
114,ORTEGA MIDDLE SCHOOL,ALAMOSA,CO,81101,6th Grade,8th Grade,Middle,100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
115,ALAMOSA ELEMENTARY SCHOOL,ALAMOSA,CO,81101,Kindergarten,5th Grade,Elementary,100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
118,ALAMOSA HIGH SCHOOL,ALAMOSA,CO,81101,9th Grade,12th Grade,Senior,100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
119,ALAMOSA OPEN SCHOOL,ALAMOSA,CO,81101,6th Grade,12th Grade,Senior,100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
124,STARS EARLY LEARNING CENTER,COMMERCE CITY,CO,80022,Preschool,Kindergarten,Elementary,30,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
125,ARAPAHOE RIDGE HIGH SCHOOL,BOULDER,CO,80303,9th Grade,12th Grade,Senior,480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
138,ALICE TERRY ELEMENTARY SCHOOL,ENGLEWOOD,CO,80150,Kindergarten,2nd Grade,Elementary,123,SHERIDAN 2,"1,201 - 6,000",Denver Metro
141,SKY VISTA MIDDLE SCHOOL,AURORA,CO,80015,6th Grade,8th Grade,Middle,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
146,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,FORT COLLINS,CO,80525,Kindergarten,12th Grade,Senior,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
148,ALLENDALE ELEMENTARY SCHOOL,ARVADA,CO,80004,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
186,ALSUP ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,Preschool,5th Grade,Elementary,30,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,THORNTON,CO,80299,7th Grade,12th Grade,Senior,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
200,ALTA VISTA CHARTER SCHOOL,LAMAR,CO,81052,Kindergarten,6th Grade,Elementary,2660,LAMAR RE-2,"1,201 - 6,000",Outlying City
201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,CASTLE ROCK,CO,80104,9th Grade,12th Grade,Senior,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
202,SMITH HIGH SCHOOL,STERLING,CO,80751,9th Grade,12th Grade,Senior,1828,VALLEY RE-1,"1,201 - 6,000",Outlying City
203,LORRAINE SECONDARY SCHOOL,FOUNTAIN,CO,80817,6th Grade,12th Grade,Senior,1000,FOUNTAIN 8,"1,201 - 6,000",Urban-Suburban
205,RED CANYON HIGH SCHOOL,EDWARDS,CO,81631,9th Grade,12th Grade,Senior,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,ENGLEWOOD,CO,80110,9th Grade,12th Grade,Senior,120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
209,ASPEN VALLEY HIGH SCHOOL,COLORADO SPRINGS,CO,80920,9th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
210,VANTAGE POINT,NORTHGLENN,CO,80234,Kindergarten,12th Grade,Senior,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
212,MAPLETON EARLY COLLEGE HIGH SCHOOL,DENVER,CO,80229,9th Grade,12th Grade,Senior,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
213,AXL ACADEMY,AURORA,CO,80012,Preschool,7th Grade,Elementary,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
214,ALTURA ELEMENTARY SCHOOL,AURORA,CO,80011,Preschool,5th Grade,Elementary,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
215,AMERICAN ACADEMY AT CASTLE PINES CHARTER,LONE TREE,CO,80124,Kindergarten,8th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
219,APS ONLINE SCHOOL,AURORA,CO,80010,9th Grade,12th Grade,Senior,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
220,AMESSE ELEMENTARY SCHOOL,DENVER,CO,80239,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
225,ANIMAS VALLEY ELEMENTARY SCHOOL,DURANGO,CO,81301,Preschool,5th Grade,Elementary,1520,DURANGO 9-R,"1,201 - 6,000",Outlying City
226,ALTONA MIDDLE SCHOOL,LONGMONT,CO,80503,6th Grade,8th Grade,Middle,470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
242,ANTELOPE RIDGE ELEMENTARY SCHOOL,AURORA,CO,80015,Preschool,5th Grade,Elementary,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
243,COYOTE HILLS ELEMENTARY SCHOOL,AURORA,CO,80016,Preschool,5th Grade,Elementary,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
248,GUADALUPE ELEMENTARY SCHOOL,ANTONITO,CO,81120,Preschool,6th Grade,Elementary,580,SOUTH CONEJOS RE-10,301 - 600,Rural
249,ANTELOPE TRAILS ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,80921,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
250,ANTONITO JUNIOR HIGH SCHOOL,ANTONITO,CO,81120,7th Grade,8th Grade,Middle,580,SOUTH CONEJOS RE-10,301 - 600,Rural
252,ANTONITO HIGH SCHOOL,ANTONITO,CO,81120,9th Grade,12th Grade,Senior,580,SOUTH CONEJOS RE-10,301 - 600,Rural
262,APPLETON ELEMENTARY SCHOOL,GRAND JUNCTION,CO,81505,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
263,GLOBAL LEADERSHIP ACADEMY,DENVER,CO,80221,Kindergarten,12th Grade,Senior,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
264,CIMARRON MIDDLE,PARKER,CO,80134,6th Grade,8th Grade,Middle,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
265,CLEAR SKY ELEMENTARY,CASTLE ROCK,CO,80109,Kindergarten,6th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
266,GOLD RUSH ELEMENTARY,PARKER,CO,80134,Kindergarten,5th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
267,MESA MIDDLE SCHOOL,CASTLE ROCK,CO,80104,7th Grade,8th Grade,Middle,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
269,ACHIEVEK12,COLORADO SPRINGS,CO,80915,Kindergarten,12th Grade,Senior,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
298,ARAPAHOE HIGH SCHOOL,CENTENNIAL,CO,80122,9th Grade,12th Grade,Senior,140,LITTLETON 6,"6,001 - 25,000",Denver Metro
301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,Kindergarten,5th Grade,Elementary,20,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
304,ARICKAREE ELEMENTARY SCHOOL,ANTON,CO,80801,Preschool,6th Grade,Elementary,3040,ARICKAREE R-2,300 or less,Rural
308,ARICKAREE UNDIVIDED HIGH SCHOOL,ANTON,CO,80801,7th Grade,12th Grade,Senior,3040,ARICKAREE R-2,300 or less,Rural
309,SKYVIEW ACADEMY HIGH SCHOOL,THORNTON,CO,80229,9th Grade,12th Grade,Senior,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
310,ARKANSAS ELEMENTARY SCHOOL,AURORA,CO,80017,Preschool,5th Grade,Elementary,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
348,ARROWHEAD ELEMENTARY SCHOOL,AURORA,CO,80013,Preschool,5th Grade,Elementary,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
354,ARROWWOOD ELEMENTARY SCHOOL,HIGHLANDS RANCH,CO,80130,Preschool,6th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
361,FRUITA 8/9 SCHOOL,FRUITA,CO,81521,8th Grade,9th Grade,Middle,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
362,RIM ROCK ELEMENTARY SCHOOL,FRUITA,CO,81521,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
363,PEAR PARK ELEMENTARY SCHOOL,GRAND JUNCTION,CO,81504,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
370,ARVADA HIGH SCHOOL,ARVADA,CO,80004,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
378,ARVADA WEST HIGH SCHOOL,ARVADA,CO,80004,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
388,ASBURY ELEMENTARY SCHOOL,DENVER,CO,80210,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
408,VALDEZ ELEMENTARY SCHOOL,DENVER,CO,80211,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
418,ASHLEY ELEMENTARY SCHOOL,DENVER,CO,80220,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
428,ASPEN ELEMENTARY SCHOOL,ASPEN,CO,81611,Preschool,4th Grade,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
429,CARBONDALE COMMUNITY CHARTER SCHOOL,CARBONDALE,CO,81623,Kindergarten,8th Grade,Elementary,1180,ROARING FORK RE-1,"1,201 - 6,000",Outlying City
430,ASPEN MIDDLE SCHOOL,ASPEN,CO,81611,5th Grade,8th Grade,Middle,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
432,ASPEN HIGH SCHOOL,ASPEN,CO,81611,9th Grade,12th Grade,Senior,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
441,ASPEN CREEK K-8 SCHOOL,BROOMFIELD,CO,80020,Kindergarten,8th Grade,Elementary,480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
442,ASPEN CROSSING ELEMENTARY SCHOOL,CENTENNIAL,CO,80015,Preschool,5th Grade,Elementary,130,CHERRY CREEK 5,"Over 25,000",Denver Metro
447,ASPEN PRE-SCHOOL,ASPEN,CO,81611,Preschool,Preschool,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
452,AUDUBON ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,80909,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
458,AURORA ACADEMY CHARTER SCHOOL,AURORA,CO,80010,Kindergarten,8th Grade,Elementary,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
464,AURORA HILLS MIDDLE SCHOOL,AURORA,CO,80012,6th Grade,8th Grade,Middle,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
465,AURORA FRONTIER K-8,AURORA,CO,80013,Kindergarten,8th Grade,Elementary,180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
469,ATLAS PREPARATORY SCHOOL,COLORADO SPRINGS,CO,80916,5th Grade,8th Grade,Middle,980,HARRISON 2,"6,001 - 25,000",Urban-Suburban
471,AVON ELEMENTARY SCHOOL,AVON,CO,81620,Preschool,5th Grade,Elementary,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
