district_id,school_id,school,city,state,zipcode,Unnamed: 8,Developed: 11-5-12
10,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,THORNTON,CO,80299,,
10,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,DENVER,CO,80229,,
10,263,GLOBAL LEADERSHIP ACADEMY,DENVER,CO,80221,,
10,309,ACADEMY HIGH SCHOOL,THORNTON,CO,80229,,
10,501,MONTEREY COMMUNITY SCHOOL,DENVER,CO,80229,,
10,502,MEADOW COMMUNITY SCHOOL,THORNTON,CO,80229,,
10,503,YORK INTERNATIONAL,THORNTON,CO,80229,,
10,504, WELBY MONTESSORI SCHOOL,DENVER,CO,80229,,
10,505,ACHIEVE ACADEMY,THORNTON,CO,80229,,
10,506,EXPLORE ELEMENTARY,THORNTON,CO,80229,,
10,507,ADVENTURE ELEMENTARY,DENVER,CO,80221,,
10,509,CLAYTON PARTNERSHIP SCHOOL,THORNTON,CO,80229,,
10,1796,COLORADO CONNECTIONS ACADEMY,ENGLEWOOD,CO,80112,,
10,4699,THE NEW AMERICA SCHOOL,DENVER,CO,80229,,
10,5539,MAPLETON EARLY LEARNING CENTER,DENVER,CO,80229,,
10,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,THORNTON,CO,80229,,
10,9036,VALLEY VIEW K-8,DENVER,CO,80221,,
20,14,GLACIER PEAK ELEMENTARY SCHOOL,BRIGHTON,CO,80605,,
20,15,ACADEMY OF CHARTER SCHOOLS,WESTMINSTER,CO,80031,,
20,57,ROCKY TOP MIDDLE SCHOOL,THORNTON,CO,80602,,
20,59,MERIDIAN ELEMENTARY SCHOOL,BROOMFIELD,CO,80020,,
20,70,ADAMS12 FIVE STAR PRESCHOOL,THORNTON,CO,80241,,
20,210,VANTAGE POINT,NORTHGLENN,CO,80234,,
20,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
20,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,BRIGHTON,CO,80601,,
20,1388,CENTENNIAL ELEMENTARY SCHOOL,BROOMFIELD,CO,80020,,
20,1480,CENTURY MIDDLE SCHOOL,THORNTON,CO,80241,,
20,1519,STARGATE CHARTER SCHOOL,THORNTON,CO,80241,,
20,1752,COLORADO VIRTUAL ACADEMY (COVA),NORTHGLENN,CO,80233,,
20,1878,CORONADO HILLS ELEMENTARY SCHOOL,THORNTON,CO,80229,,
20,1914,COTTON CREEK ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
20,1937,COYOTE RIDGE ELEMENTARY SCHOOL,BROOMFIELD,CO,80020,,
20,2361,EAGLEVIEW ELEMENTARY SCHOOL,THORNTON,CO,80241,,
20,2410,TARVER ELEMENTARY SCHOOL,THORNTON,CO,80241,,
20,2576,CHERRY DRIVE ELEMENTARY SCHOOL,THORNTON,CO,80233,,
20,2578,SKYVIEW ELEMENTARY SCHOOL,THORNTON,CO,80241,,
20,2580,HUNTERS GLEN ELEMENTARY SCHOOL,THORNTON,CO,80241,,
20,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
20,2584,RIVERDALE ELEMENTARY SCHOOL,THORNTON,CO,80233,,
20,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,DENVER,CO,80221,,
20,3439,GLOBAL VILLAGE ACADEMY,NORTHGLENN,CO,80234,,
20,4000,HILLCREST ELEMENTARY SCHOOL,NORTHGLENN,CO,80221,,
20,4108,HORIZON HIGH SCHOOL,BRIGHTON,CO,80601,,
20,4172,HULSTROM OPTIONS K-8 SCHOOL,NORTHGLENN,CO,80233,,
20,4187,SILVER HILLS MIDDLE SCHOOL,NORTHGLENN,CO,80234,,
20,5043,LEGACY HIGH SCHOOL,BROOMFIELD,CO,80020,,
20,5058,LEROY DRIVE ELEMENTARY SCHOOL,NORTHGLENN,CO,80233,,
20,5418,MALLEY DRIVE ELEMENTARY SCHOOL,NORTHGLENN,CO,80233,,
20,5706,MC ELWAIN ELEMENTARY SCHOOL,THORNTON,CO,80229,,
20,5814,THORNTON MIDDLE SCHOOL,THORNTON,CO,80229,,
20,5816,THORNTON HIGH SCHOOL,THORNTON,CO,80229,,
20,6060,MOUNTAIN RANGE HIGH SCHOOL,WESTMINSTER,CO,80234,,
20,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,BROOMFIELD,CO,80020,,
20,6342,SHADOW RIDGE MIDDLE SCHOOL,THORNTON,CO,80602,,
20,6355,NORTH MOR ELEMENTARY SCHOOL,NORTHGLENN,CO,80221,,
20,6376,NORTH STAR ELEMENTARY SCHOOL,DENVER,CO,80221,,
20,6398,NORTHGLENN MIDDLE SCHOOL,NORTHGLENN,CO,80233,,
20,6402,NORTHGLENN HIGH SCHOOL,NORTHGLENN,CO,80221,,
20,6802,PROSPECT RIDGE ACADEMY,THORNTON,CO,80229,,
20,6830,NIVER CREEK MIDDLE SCHOOL,DENVER,CO,80221,,
20,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,THORNTON,CO,80602,,
20,7795,SILVER CREEK ELEMENTARY,THORNTON,CO,80602,,
20,8211,THE STUDIO SCHOOL,NORTHGLENN,CO,80233,,
20,8225,STELLAR ELEMENTARY SCHOOL,THORNTON,CO,80241,,
20,8275,STEM SCHOOL,NORTHGLENN,CO,80233,,
20,8361,STUKEY ELEMENTARY SCHOOL,NORTHGLENN,CO,80233,,
20,8842,THORNTON ELEMENTARY SCHOOL,THORNTON,CO,80229,,
20,9431,WESTGATE CHARTER,NORTHGLENN,CO,80233,,
20,9444,WESTLAKE MIDDLE SCHOOL,BROOMFIELD,CO,80020,,
20,9494,WESTVIEW ELEMENTARY SCHOOL,NORTHGLENN,CO,80234,,
20,9682,WOODGLEN ELEMENTARY SCHOOL,THORNTON,CO,80233,,
30,20,ADAMS CITY MIDDLE SCHOOL,COMMERCE CITY,CO,80022,,
30,22,LESTER R ARNOLD HIGH SCHOOL,COMMERCE CITY,CO,80022,,
30,24,ADAMS CITY HIGH SCHOOL,COMMERCE CITY,CO,80022,,
30,124,STARS EARLY LEARNING CENTER,COMMERCE CITY,CO,80022,,
30,186,ALSUP ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,1426,CENTRAL ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,2308,DUPONT ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,4516,KEARNEY MIDDLE SCHOOL,COMMERCE CITY,CO,80022,,
30,4536,KEMP ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,5880,MILDRED L SANVILLE PRESCHOOL,COMMERCE CITY,CO,80022,,
30,5982,MONACO ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,6534,HANSON ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
30,7500,ROSE HILL ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
40,700,BELLE CREEK CHARTER SCHOOL,HENDERSON,CO,80640,,
