district_id,school_id,school,city,state,zipcode,year,lowestgrade,unnamed: 8,school type,district_name,district size,district setting,developed: 11-5-12
880,10,Abraham Lincoln High School,Denver,CO,80219,2010,,,,,,,
900,11,Academy Charter School,Castle Rock,CO,80104,2010,,,,,,,
900,12,Acres Green Elementary School,Littleton,CO,80124,2010,,,,,,,
20,14,Glacier Peak Elementary School,Brighton,CO,80605,2010,,,,,,,
20,15,Academy Of Charter Schools,Westminster,CO,80031,2010,,,,,,,
130,16,Fox Hollow Elementary School,Aurora,CO,80116,2010,,,,,,,
1040,17,Academy Endeavour Elementary School,Colorado Springs,CO,80920,2010,,,,,,,
130,18,Liberty Middle School,Aurora,CO,80016,2010,,,,,,,
1040,19,Academy International Elementary School,Colorado Springs,CO,80920,2010,,,,,,,
30,20,Adams City Middle School,Commerce City,CO,80022,2010,,,,,,,
30,22,Lester R Arnold High School,Commerce City,CO,80022,2010,,,,,,,
30,24,Adams City High School,Commerce City,CO,80022,2010,,,,,,,
2700,25,Sky View Middle School,Pueblo West,CO,81007,2010,,,,,,,
2700,26,Desert Sage Elementary School,Pueblo West,CO,81007,2010,,,,,,,
980,29,Adult & Family Literacy,Colorado Springs,CO,80906,2010,,,,,,,
1420,30,Adams Elementary School,Westminster,CO,80021,2010,,,,,,,
1420,33,Mc Lain High School,Lakewood,CO,80228,2010,,,,,,,
1420,34,Mc Lain Community High School,Lakewood,CO,80228,2010,,,,,,,
970,35,Frontier Charter Academy,Calhan,CO,80808,2010,,,,,,,
910,37,Red Hill Elementary School,Gypsum,CO,81637,2010,,,,,,,
910,38,Brush Creek Elementary School,Eagle,CO,81631,2010,,,,,,,
910,39,Gypsum Creek Middle School,Gypsum,CO,81637,2010,,,,,,,
880,40,Ridge View Academy Charter School,Watkins,CO,80137,2010,,,,,,,
2640,42,Aspen Community Charter School,Woody Creek,CO,81656,2010,,,,,,,
960,44,Agate Elementary School,Agate,CO,80101,2010,,,,,,,
960,48,Agate Junior-Senior High School,Agate,CO,80101,2010,,,,,,,
890,50,Rico Elementary School,Rico,CO,81332,2010,,,,,,,
2810,51,The Academic Recovery Center Of San Luis Valley,Center,CO,81125,2010,,,,,,,
3120,52,Heiman Elementary School,Evans,CO,80620,2010,,,,,,,
3120,53,Winograd K-8 Elementary School,Greeley,CO,80634,2010,,,,,,,
3120,54,Romero Elementary School,Greeley,CO,80631,2010,,,,,,,
3100,55,Grandview Elementary School,Windsor,CO,80550,2010,,,,,,,
2540,56,Fowler Elementary School,Fowler,CO,80139,2010,,,,,,,
20,57,Rocky Top Middle School,Thornton,CO,80602,2010,,,,,,,
1620,58,Aguilar Elementary School,Aguilar,CO,81020,2010,,,,,,,
20,59,Meridian Elementary School,Broomfield,CO,80020,2010,,,,,,,
470,60,Legacy Elementary School,Frederick,CO,80504,2010,,,,,,,
470,61,Alpine Elementary School,Longmont,CO,80501,2010,,,,,,,
1390,63,Peakview School,Walsenburg,CO,81089,2010,,,,,,,
