school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
BEAR CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,652,13,13,13,12,13,12,10,12,10,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,E,False,1510,13,13,13,13,13,10,9,9,10,
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1574,13,12,12,12,12,13,13,12,13,
DRY CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,2292,13,12,12,12,10,13,12,10,13,
STECK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8222,13,13,13,13,12,13,13,12,13,
TIMBER TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,8853,13,12,12,12,12,12,11,12,10,
DENNISON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9432,13,13,13,13,13,12,10,12,10,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,False,146,13,13,12,13,13,12,12,10,9,92.6
TRAUT CORE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,9251,13,13,13,13,13,13,13,9,13,
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,477,13,13,13,13,13,12,12,10,12,
COYOTE RIDGE ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,2089,13,13,13,12,13,13,13,13,13,
THE CLASSICAL ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,False,1630,13,12,12,13,13,10,9,10,10,99.2
KIOWA HIGH SCHOOL,930,KIOWA C-2,H,False,4728,13,10,10,9,10,13,13,13,13,100.0
ASPEN HIGH SCHOOL,2640,ASPEN 1,H,False,432,13,12,12,12,10,10,10,9,9,94.7
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,H,False,1590,13,12,12,12,12,9,9,9,9,94.4
WEST GRAND HIGH SCHOOL,1340,WEST GRAND 1-JT.,H,False,9420,13,12,9,12,13,13,13,12,13,83.6
JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,4410,13,12,9,12,12,12,10,10,12,90.9
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,880,DENVER COUNTY 1,H,True,2185,13,9,11,9,9,13,12,13,13,85.9
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,H,False,6816,12,12,12,12,13,9,8,9,9,97.8
TELLURIDE HIGH SCHOOL,2830,TELLURIDE R-1,H,False,8794,12,13,12,12,11,9,9,9,9,94.5
NORTHRIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,6406,13,12,12,13,13,12,12,9,12,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,False,2006,12,12,12,12,10,11,9,13,6,93.8
THE VANGUARD SCHOOL (HIGH),8001,CHARTER SCHOOL INSTITUTE,H,False,9057,12,13,13,13,13,13,13,9,13,
BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,651,13,12,12,12,12,12,12,12,12,
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,4172,13,13,13,13,12,12,12,9,12,
COTTONWOOD CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1916,13,12,12,12,12,12,12,9,11,
STONE MOUNTAIN ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,2953,13,12,12,12,10,12,11,12,10,
MEIKLEJOHN ELEMENTARY,1420,JEFFERSON COUNTY R-1,E,False,5758,13,12,12,12,12,13,13,13,13,
HERITAGE HIGH SCHOOL,140,LITTLETON 6,H,False,3930,12,12,12,12,12,10,9,12,9,93.6
EVERGREEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,2836,12,12,13,12,12,9,6,9,9,93.9
