school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
BEAR CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,652,13,12,13,12,12,13,12,12,12,
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1574,13,12,12,13,12,13,13,12,13,
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,1586,13,12,12,13,12,12,9,10,12,
CHINOOK TRAIL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,1615,13,12,12,12,11,13,12,13,9,
THE CLASSICAL ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,1630,13,13,12,12,13,10,9,9,10,98.4
CORY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,1908,13,12,13,12,12,12,13,10,11,
COTTONWOOD CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1916,13,12,13,12,12,13,13,12,12,
POLARIS AT EBERT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2027,13,13,13,13,13,12,12,10,10,
COYOTE RIDGE ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,2089,13,12,13,11,12,13,13,13,13,
MEIKLEJOHN ELEMENTARY,1420,JEFFERSON COUNTY R-1,E,5758,13,12,12,10,11,13,12,12,12,
NIWOT ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,6274,13,12,12,12,12,12,12,9,12,
STECK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8222,13,13,13,13,12,13,13,13,13,
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,M,1571,13,13,12,13,13,12,12,13,12,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,M,5120,13,13,13,13,13,12,10,12,12,
HORIZONS K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,6642,13,12,12,10,13,12,9,9,13,
AURORA QUEST K-8,180,ADAMS-ARAPAHOE 28J,E,7232,13,13,13,13,13,12,12,12,9,
DSST: STAPLETON,880,DENVER COUNTY 1,H,2185,13,10,12,10,11,13,12,13,13,80.7
LYONS MIDDLE/SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,5368,13,12,13,12,12,10,9,10,9,93.9
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,H,2184,13,12,10,13,12,10,10,9,11,94.1
KIOWA HIGH SCHOOL,930,KIOWA C-2,H,4728,13,11,9,12,12,13,13,12,13,100
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,2120,13,13,13,13,13,9,10,10,6,100
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,146,13,13,12,13,13,10,11,10,6,85.7
THE VANGUARD SCHOOL (HIGH),8001,CHARTER SCHOOL INSTITUTE,H,9057,13,13,13,13,13,12,13,9,12,80
JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,4410,12,10,9,11,12,10,7,12,10,93.5
RALSTON VALLEY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,7239,12,11,13,10,12,9,9,12,6,90.2
HERITAGE HIGH SCHOOL,140,LITTLETON 6,H,3930,12,11,12,10,12,9,9,12,8,87.3
EVERGREEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,2836,12,12,13,12,13,8,8,9,6,94.7
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,H,6816,12,12,12,12,13,9,7,9,9,96.5
WEST GRAND HIGH SCHOOL,1340,WEST GRAND 1-JT.,H,9420,12,12,9,11,12,13,13,13,13,80
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,H,1590,12,12,12,12,11,9,8,9,6,93.1
ALTONA MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,226,13,11,9,12,11,13,12,13,12,
RIDGWAY HIGH SCHOOL,2590,RIDGWAY R-2,H,7346,12,12,9,10,11,11,12,7,12,95.6
ARAPAHOE HIGH SCHOOL,140,LITTLETON 6,H,298,12,12,12,12,12,9,7,10,6,93.6
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,952,13,12,12,13,13,12,13,9,11,
SUPERIOR ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,8418,13,13,12,12,12,12,9,10,12,
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,1873,13,12,12,13,10,12,12,12,9,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,2006,12,12,12,12,10,12,10,13,6,89.7
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,H,5828,12,9,8,8,9,11,9,10,10,-
ASPEN HIGH SCHOOL,2640,ASPEN 1,H,432,12,12,10,12,10,9,9,8,7,94.9
BUENA VISTA HIGH SCHOOL,490,BUENA VISTA R-31,H,1130,12,9,7,9,9,10,12,9,9,92.3
TRAUT CORE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,9251,13,13,13,13,13,12,12,9,13,
DRY CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,2292,13,11,12,12,10,12,12,11,12,
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,M,215,13,12,12,13,12,12,9,10,12,
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,H,6838,12,13,12,13,9,13,13,6,13,92.2
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,4172,13,13,13,13,13,12,12,12,12,
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,H,7701,12,7,6,8,6,10,9,9,10,89.4
