district_id,district_name,school_id,school,emh,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
1040,ACADEMY 20,17,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,7,9,9,9,9,7,7,7,7,
1040,ACADEMY 20,19,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,12,12,10,11,12,11,12,11,7,
1040,ACADEMY 20,110,ACADEMY ONLINE HIGH SCHOOL,H,,,,,,,,,,-
1040,ACADEMY 20,76,AIR ACADEMY HIGH SCHOOL,H,9,9,9,9,10,6,5,6,5,90.
1040,ACADEMY 20,249,ANTELOPE TRAILS ELEMENTARY SCHOOL,E,10,10,9,10,9,9,6,9,9,
1040,ACADEMY 20,209,ASPEN VALLEY HIGH SCHOOL,H,7,9,3,6,3,12,12,10,12,48.
1040,ACADEMY 20,74,CHALLENGER MIDDLE SCHOOL,M,8,9,9,9,12,6,7,6,7,
1040,ACADEMY 20,1615,CHINOOK TRAIL ELEMENTARY SCHOOL,E,13,12,10,12,12,12,10,12,9,
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,E,6,9,11,10,9,5,1,6,6,
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,M,9,9,10,10,10,7,6,6,7,
1040,ACADEMY 20,2195,DISCOVERY CANYON CAMPUS SCHOOL,H,9,10,10,10,10,6,6,6,6,90.
1040,ACADEMY 20,2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,E,6,8,6,8,9,5,6,3,5,
1040,ACADEMY 20,2358,EAGLEVIEW MIDDLE SCHOOL,M,9,9,9,9,9,7,6,7,8,
1040,ACADEMY 20,2524,EDITH WOLFORD ELEMENTARY SCHOOL,E,10,9,7,9,9,10,6,10,10,
1040,ACADEMY 20,2800,EXPLORER ELEMENTARY SCHOOL,E,6,9,9,10,9,3,6,1,4,
1040,ACADEMY 20,3104,FOOTHILLS ELEMENTARY SCHOOL,E,10,9,8,9,9,9,6,11,9,
1040,ACADEMY 20,3238,FRONTIER ELEMENTARY SCHOOL,E,9,7,8,8,9,9,9,6,9,
1040,ACADEMY 20,3985,HIGH PLAINS ELEMENTARY SCHOOL,E,4,6,6,6,7,3,5,3,3,
1040,ACADEMY 20,5126,LIBERTY HIGH SCHOOL,H,8,9,9,9,9,5,6,5,5,88.
1040,ACADEMY 20,6140,MOUNTAIN RIDGE MIDDLE SCHOOL,M,9,9,9,9,9,6,6,6,6,
1040,ACADEMY 20,6158,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,12,12,12,12,11,10,9,9,10,
1040,ACADEMY 20,6937,PINE CREEK HIGH SCHOOL,H,9,10,9,11,10,6,6,6,7,90.
1040,ACADEMY 20,6960,PIONEER ELEMENTARY SCHOOL,E,7,6,6,6,7,8,7,8,7,
1040,ACADEMY 20,7159,PRAIRIE HILLS ELEMENTARY SCHOOL,E,9,8,7,7,9,7,5,9,7,
1040,ACADEMY 20,7240,RAMPART HIGH SCHOOL,H,9,9,10,9,9,5,5,6,2,89.
1040,ACADEMY 20,7247,RANCH CREEK ELEMENTARY,E,9,9,7,9,9,9,8,9,9,
1040,ACADEMY 20,7460,ROCKRIMMON ELEMENTARY SCHOOL,E,7,10,10,10,9,6,6,6,6,
1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,M,,12,11,12,9,9,10,6,9,
1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,H,10,13,11,13,12,9,9,7,10,68.
1040,ACADEMY 20,1627,THE CLASSICAL ACADEMY CHARTER,E,9,11,10,10,9,7,6,6,7,
1040,ACADEMY 20,1630,THE CLASSICAL ACADEMY HIGH SCHOOL,H,13,12,12,12,13,9,9,9,9,99.
1040,ACADEMY 20,1629,THE CLASSICAL ACADEMY MIDDLE SCHOOL,M,12,12,12,12,12,10,12,9,7,
1040,ACADEMY 20,8813,THE DA VINCI ACADEMY SCHOOL,E,8,9,9,9,9,7,6,6,7,
1040,ACADEMY 20,8851,TIMBERVIEW MIDDLE SCHOOL,M,7,9,9,9,9,6,6,8,6,
1040,ACADEMY 20,9714,WOODMEN-ROBERTS ELEMENTARY SCHOOL,E,9,10,9,11,10,7,9,6,8,
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,E,7,8,9,7,7,6,6,6,7,
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,M,6,7,6,6,6,4,6,4,3,
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,H,7,7,6,7,6,6,8,5,6,80.
20,ADAMS 12 FIVE STAR SCHOOLS,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,9,8,9,7,9,9,6,9,10,
20,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,E,6,5,5,3,6,6,6,7,5,
20,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,M,6,6,7,6,9,6,6,5,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,E,5,5,6,4,4,6,6,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),E,1,5,4,4,6,1,1,1,1,
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),M,3,5,4,5,3,2,5,2,3,
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),H,2,6,5,6,6,6,7,6,6,22.
20,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,E,1,2,3,1,2,2,1,4,3,
20,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,E,7,6,7,6,8,6,5,6,9,
20,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,E,9,9,11,10,9,7,7,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,E,8,6,9,7,7,7,8,8,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,E,3,1,3,1,2,4,4,6,6,
