district_name,school,school_id,pct_remediation
DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL,10,0.78
ADAMS COUNTY 14,ADAMS CITY HIGH SCHOOL,24,0.72
JEFFERSON COUNTY R-1,MCLAIN COMMUNITY HS,34,0.71
GARFIELD RE-2,COAL RIDGE HIGH SCHOOL,65,0.5
ACADEMY 20,AIR ACADEMY HIGH SCHOOL,76,0.24
JEFFERSON COUNTY R-1,ALAMEDA HIGH SCHOOL,108,0.67
ALAMOSA RE-11J,ALAMOSA HIGH SCHOOL,118,0.46
LITTLETON 6,ARAPAHOE HIGH SCHOOL,298,0.22
JEFFERSON COUNTY R-1,ARVADA SENIOR HIGH SCHOOL,370,0.56
JEFFERSON COUNTY R-1,ARVADA WEST HIGH SCHOOL,378,0.28
ASPEN 1,ASPEN HIGH SCHOOL,432,0.13
ROARING FORK RE-1,BASALT HIGH SCHOOL,570,0.29
EAGLE COUNTY RE 50,BATTLE MOUNTAIN HIGH SCHOOL,604,0.3
BAYFIELD 10 JT-R,BAYFIELD HIGH SCHOOL,640,0.38
JEFFERSON COUNTY R-1,BEAR CREEK HIGH SCHOOL,664,0.34
BENNETT 29J,BENNETT SENIOR HIGH SCHOOL,775,0.31
THOMPSON R-2J,BERTHOUD HIGH SCHOOL,812,0.27
BOULDER VALLEY RE 2,BOULDER HIGH SCHOOL,924,0.2
BRIGHTON 27J,BRIGHTON HIGH SCHOOL,1022,0.45
BOULDER VALLEY RE 2,BROOMFIELD HIGH SCHOOL,1070,0.29
BRUSH RE-2(J),BRUSH HIGH SCHOOL,1096,0.45
BUENA VISTA R-31,BUENA VISTA HIGH SCHOOL,1130,0.37
CANON CITY RE-1,CANON CITY SENIOR HIGH SCHOOL,1266,0.38
DOUGLAS COUNTY RE 1,CASTLE VIEW HIGH SCHOOL,1367,0.31
DELTA COUNTY 50(J),CEDAREDGE HIGH SCHOOL,1372,0.37
NORTH CONEJOS RE-1J,CENTAURI HIGH SCHOOL,1378,0.68
BOULDER VALLEY RE 2,CENTAURUS HIGH SCHOOL,1380,0.3
PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,1402,0.54
KEENESBURG RE-3(J),WELD CENTRAL HIGH SCHOOL,1446,0.35
MESA COUNTY VALLEY 51,CENTRAL HIGH SCHOOL,1450,0.48
