school,school_id,pct_remediation,year
ABRAHAM LINCOLN HIGH SCHOOL,10,0.785714,2010
ACADEMY OF CHARTER SCHOOLS,15,,2010
ADAMS CITY HIGH SCHOOL,24,0.569231,2010
MC LAIN HIGH SCHOOL,33,0.545455,2010
AIR ACADEMY HIGH SCHOOL,76,0.147368,2010
AKRON HIGH SCHOOL,90,,2010
ALAMEDA HIGH SCHOOL,108,0.5,2010
ALAMOSA HIGH SCHOOL,118,0.483333,2010
ARAPAHOE HIGH SCHOOL,298,0.166667,2010
SKYVIEW HIGH SCHOOL,309,,2010
ARVADA HIGH SCHOOL,370,0.566038,2010
ARVADA WEST HIGH SCHOOL,378,0.327189,2010
ASPEN HIGH SCHOOL,432,0.204545,2010
BASALT HIGH SCHOOL,570,0.327273,2010
BATTLE MOUNTAIN HIGH SCHOOL,604,0.328358,2010
BAYFIELD HIGH SCHOOL,640,0.309524,2010
BEAR CREEK HIGH SCHOOL,664,0.222222,2010
BERTHOUD HIGH SCHOOL,812,0.211765,2010
BOULDER HIGH SCHOOL,924,0.162679,2010
BRIGHTON HIGH SCHOOL,1022,0.472,2010
BROOMFIELD HIGH SCHOOL,1070,0.25,2010
BRUSH HIGH SCHOOL,1096,0.294118,2010
BUENA VISTA HIGH SCHOOL,1130,0.340909,2010
CANON CITY HIGH SCHOOL,1266,0.337079,2010
CEDAREDGE HIGH SCHOOL,1372,0.366667,2010
CENTAURI HIGH SCHOOL,1378,,2010
CENTAURUS HIGH SCHOOL,1380,0.252336,2010
CENTENNIAL HIGH SCHOOL,1402,0.422018,2010
WELD CENTRAL SENIOR HIGH SCHOO,1446,0.487805,2010
CENTRAL HIGH SCHOOL,1450,0.416667,2010
CENTRAL HIGH SCHOOL,1454,0.648352,2010
AURORA CENTRAL HIGH SCHOOL,1458,0.753623,2010
CHAPARRAL HIGH SCHOOL,1503,0.221818,2010
CHATFIELD HIGH SCHOOL,1522,0.240678,2010
CHERRY CREEK HIGH SCHOOL,1570,0.128395,2010
CHEYENNE MOUNTAIN HIGH SCHOOL,1590,0.145078,2010
THE CLASSICAL ACADEMY CHARTER,1627,0.071429,2010
COLUMBINE HIGH SCHOOL,1864,0.274131,2010
CORONADO HIGH SCHOOL,1870,0.227848,2010
CONIFER SENIOR HIGH SCHOOL,1886,0.146552,2010
DAKOTA RIDGE SENIOR HIGH SCHOO,2093,0.206573,2010
D'EVELYN SENIOR HIGH SCHOOL,2120,0.0,2010
DEL NORTE HIGH SCHOOL,2150,,2010
DELTA HIGH SCHOOL,2164,0.404255,2010
DENVER SCHOOL OF THE ARTS,2184,0.190476,2010
DOHERTY HIGH SCHOOL,2202,0.271111,2010
DOUGLAS COUNTY HIGH SCHOOL,2230,0.191667,2010
DURANGO HIGH SCHOOL,2318,0.283688,2010
EAGLE VALLEY HIGH SCHOOL,2350,0.409836,2010
EAGLECREST HIGH SCHOOL,2357,0.34717,2010
EAST HIGH SCHOOL,2394,0.58,2010
EAST HIGH SCHOOL,2398,0.385366,2010
EATON HIGH SCHOOL,2456,0.307692,2010
ELIZABETH HIGH SCHOOL,2608,0.371429,2010
ENGLEWOOD HIGH SCHOOL,2746,0.42029,2010
ERIE MIDDLE/SENIOR HIGH SCHOOL,2761,0.426829,2010
ESTES PARK HIGH SCHOOL,2794,0.153846,2010
EVERGREEN HIGH SCHOOL,2836,0.145695,2010
UNIVERSITY SCHOOLS,2850,0.438597,2010
FAIRVIEW HIGH SCHOOL,2892,0.110132,2010
FALCON HIGH SCHOOL,2908,0.29661,2010
FLORENCE HIGH SCHOOL,3002,0.545455,2010
FORT COLLINS HIGH SCHOOL,3046,0.254237,2010
FORT LUPTON HIGH SCHOOL,3070,0.59375,2010
FORT MORGAN HIGH SCHOOL,3078,0.395349,2010
FOUNTAIN-FORT CARSON HIGH SCHO,3110,0.375839,2010
FREDERICK SENIOR HIGH SCHOOL,3196,0.419355,2010
GATEWAY HIGH SCHOOL,3354,0.615385,2010
GEORGE WASHINGTON HIGH SCHOOL,3378,0.6,2010
GLENWOOD SPRINGS HIGH SCHOOL,3468,0.298507,2010
GOLDEN HIGH SCHOOL,3502,0.253333,2010
GRAND JUNCTION HIGH SCHOOL,3570,0.319018,2010
GRANDVIEW HIGH SCHOOL,3589,0.25,2010
GREELEY CENTRAL HIGH SCHOOL,3610,0.45679,2010
GREELEY WEST HIGH SCHOOL,3614,0.409449,2010
GREEN MOUNTAIN HIGH SCHOOL,3628,0.20202,2010
GUNNISON HIGH SCHOOL,3694,0.26087,2010
HARRISON HIGH SCHOOL,3806,0.555556,2010
HERITAGE HIGH SCHOOL,3930,0.190789,2010
HIGHLANDS RANCH HIGH SCHOOL,3980,0.181034,2010
HINKLEY HIGH SCHOOL,4024,0.522936,2010
HORIZON HIGH SCHOOL,4108,0.386667,2010
HOTCHKISS HIGH SCHOOL,4128,0.344828,2010
CLEAR CREEK HIGH SCHOOL,4216,0.30303,2010
IVER C. RANUM HIGH SCHOOL,4326,0.45679,2010
JAMES IRWIN CHARTER HIGH SCHOO,4378,,2010
JEFFERSON CHARTER ACADEMY SENI,4410,0.310345,2010
JEFFERSON HIGH SCHOOL,4425,0.621622,2010
JOHN F KENNEDY HIGH SCHOOL,4444,0.627119,2010
PLATTE VALLEY HIGH SCHOOL,4670,0.521739,2010
LA JUNTA HIGH SCHOOL,4844,0.25,2010
LAKEWOOD HIGH SCHOOL,4942,0.194313,2010
LAMAR HIGH SCHOOL,4960,0.34375,2010
LEGACY HIGH SCHOOL,5043,0.23506,2010
LEWIS-PALMER HIGH SCHOOL,5100,0.109756,2010
LIBERTY HIGH SCHOOL,5126,0.253012,2010
LIMON JUNIOR-SENIOR HIGH SCHOO,5136,,2010
LITTLETON HIGH SCHOOL,5224,0.289017,2010
LONGMONT HIGH SCHOOL,5282,0.30625,2010
LOVELAND HIGH SCHOOL,5316,0.3,2010
LYONS MIDDLE/SENIOR HIGH SCHOO,5368,,2010
