,,DISTRICT/,,Total,,,
,,BOCES,Total,Support,Community,Other,Total
,COUNTY,FPC,Instruction,Services,Services,Expenditures,Expenditures
,,,,,,,
,ADAMS,MAPLETON 1,,,,,
$ ,Amount,,"38,157,232","24,772,389","1,133,114","47,915,629","111,978,365"
$ ,Per Pupil,"7,322.0 "," 5,211 "," 3,383 ", 155 ," 6,544 "," 15,293 "
% ,All Funds,,34.1 ,22.1 ,1.0 ,42.8 ,100.0 
,,,,,,,
,ADAMS,ADAMS 12 FIVE STAR,,,,,
$ ,Amount,,"222,647,754","122,690,063","1,234,485","204,125,589","550,697,892"
$ ,Per Pupil,"41,105.0 "," 5,417 "," 2,985 ", 30 ," 4,966 "," 13,397 "
% ,All Funds,,40.4 ,22.3 ,0.2 ,37.1 ,100.0 
,,,,,,,
,ADAMS,ADAMS COUNTY 14,,,,,
$ ,Amount,,"35,356,243","37,275,630","795,722","7,400,225","80,827,821"
$ ,Per Pupil,"6,756.4 "," 5,233 "," 5,517 ", 118 ," 1,095 "," 11,963 "
% ,All Funds,,43.7 ,46.1 ,1.0 ,9.2 ,100.0 
,,,,,,,
,ADAMS,BRIGHTON 27J,,,,,
$ ,Amount,,"62,834,937","49,692,282","261,089","61,259,467","174,047,775"
$ ,Per Pupil,"14,821.9 "," 4,239 "," 3,353 ", 18 ," 4,133 "," 11,743 "
% ,All Funds,,36.1 ,28.6 ,0.2 ,35.2 ,100.0 
,,,,,,,
,ADAMS,BENNETT 29J,,,,,
$ ,Amount,,"4,471,446","3,839,480",0,"8,277,945","16,588,870"
$ ,Per Pupil,"1,047.6 "," 4,268 "," 3,665 ", 0 ," 7,902 "," 15,835 "
% ,All Funds,,27.0 ,23.1 ,0.0 ,49.9 ,100.0 
,,,,,,,
,ADAMS,STRASBURG 31J,,,,,
$ ,Amount,,"4,441,915","3,371,557",0,"6,942,257","14,755,729"
$ ,Per Pupil,952.5 ," 4,663 "," 3,540 ", 0 ," 7,288 "," 15,492 "
% ,All Funds,,30.1 ,22.8 ,0.0 ,47.0 ,100.0 
,,,,,,,
,ADAMS,WESTMINSTER 50,,,,,
$ ,Amount,,"50,976,836","42,731,800","485,730","10,856,522","105,050,888"
$ ,Per Pupil,"9,543.3 "," 5,342 "," 4,478 ", 51 ," 1,138 "," 11,008 "
% ,All Funds,,48.5 ,40.7 ,0.5 ,10.3 ,100.0 
,,,,,,,
,ALAMOSA,ALAMOSA RE-11J,,,,,
$ ,Amount,,"9,854,985","6,906,565",0,"2,891,497","19,653,047"
$ ,Per Pupil,"2,097.6 "," 4,698 "," 3,293 ", 0 ," 1,378 "," 9,369 "
% ,All Funds,,50.1 ,35.1 ,0.0 ,14.7 ,100.0 
,,,,,,,
,ALAMOSA,SANGRE DE CRISTO RE-22J,,,,,
$ ,Amount,,"1,729,715","1,699,152",0,"1,014,642","4,443,509"
$ ,Per Pupil,297.4 ," 5,816 "," 5,713 ", 0 ," 3,412 "," 14,941 "
% ,All Funds,,38.9 ,38.2 ,0.0 ,22.8 ,100.0 
,,,,,,,
,ARAPAHOE,ENGLEWOOD 1,,,,,
$ ,Amount,,"17,653,095","12,953,157","177,585","6,414,260","37,198,098"
$ ,Per Pupil,"2,931.4 "," 6,022 "," 4,419 ", 61 ," 2,188 "," 12,690 "
% ,All Funds,,47.5 ,34.8 ,0.5 ,17.2 ,100.0 
,,,,,,,
,ARAPAHOE,SHERIDAN 2,,,,,
$ ,Amount,,"10,549,826","10,061,700","52,498","4,567,087","25,231,110"
$ ,Per Pupil,"1,489.5 "," 7,083 "," 6,755 ", 35 ," 3,066 "," 16,939 "
% ,All Funds,,41.8 ,39.9 ,0.2 ,18.1 ,100.0 
,,,,,,,
,ARAPAHOE,CHERRY CREEK 5,,,,,
$ ,Amount,,"323,780,400","150,242,974","1,116,022","136,020,063","611,159,459"
